"rt","responses","trial_type","time_elapsed","sequence","stimulus","cities","city_images","button_pressed","response","key_press","stimulus_left","stimulus_right","accuracy","cumulative_accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","missedtrial","condition","specific_pairs","imgL_ID","imgR_ID","linedress","linedressed","detour_trial","linedressed_detor","testedstates","currentstate","otherstate","problems","smooth","distraction","strategies","easier","similar","comments"
"2793","{""worker_id"":""3024""}","id_enter","2796","blocked","intro","Delaro Park; Riverlyn; Granton Ridge; Claywater; Orchard Bend; Cedarwyn; Hollendale; Baymarsh; Hawthorne Bluffs; Juniper Creek; New Verdan; North Arroya; Sunmere","US_Cities_List/teeth.png; US_Cities_List/barrel.png; US_Cities_List/wheelchair.png; US_Cities_List/camera.png; US_Cities_List/dustpan.png; US_Cities_List/paint.png; US_Cities_List/jukebox.png; US_Cities_List/soldier.png; US_Cities_List/gong.png; US_Cities_List/globe.png; US_Cities_List/snail.png; US_Cities_List/basket.png; US_Cities_List/hat.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"824.5","","fullscreen","3625","","make_fullscreen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54405.40000000596","","intro_1","58037","","instruct","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2403.2000000029802","","intro_2","60454","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3183.5","","intro_3","63646","","instruct","","","0","Previous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1131.6000000089407","","intro_2","64782","","instruct","","","0","Previous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8788.90000000596","","intro_1","73575","","instruct","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260.09999999404","","intro_2","93839","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12723.89999999106","","intro_3","106566","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51766","","intro_4","158335","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15212.5","","intro_5","173551","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20085.39999999106","","intro_6","193638","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11659.90000000596","","intro_7","205301","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4349.899999991059","","intro_8","209653","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2960.5","","intro_9","212616","","instruct","","","0","Previous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6467.899999991059","","intro_8","219086","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"996","","intro_9","220085","","instruct","","","0","Previous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7517.600000008941","","intro_8","227605","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5677.5","","intro_9","233285","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11093.39999999106","","intro_10","244381","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11341","","intro_11","255725","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31668.70000000298","","intro_12","287396","","instruct","","","1","Next","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","288198","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"433","","prac_atten_color","288810","","prac_stop_color","","","","","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","290814","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","291615","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"717.2000000029802","","prac_atten_color","292382","","prac_stop_color","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","294385","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","295026","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"505.8999999910593","","prac_atten_color","295747","","prac_stop_color","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","297751","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","298437","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"590.7999999970198","","prac_atten_color","299163","","prac_stop_color","","","","","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","301166","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","301847","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color","302267","","prac_stop_color","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64.30000001192093","","prac_atten_color_black","304271","","black_plus_sign","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","305258","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"520.2000000029802","","prac_atten_color","306088","","prac_stop_color","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","308091","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","308669","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color","309075","","prac_stop_color","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"152.5","","prac_atten_color_black","311078","","black_plus_sign","","","","","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","312080","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"523","","prac_atten_color","313120","","prac_stop_color","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","315124","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","315490","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"449.29999999701977","","prac_atten_color","316426","","prac_stop_color","","","","","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","318429","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","318900","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"583.2000000029802","","prac_atten_color","319700","","prac_stop_color","","","","","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","prac_atten_color_black","321706","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8312.79999999702","","attentioncheck_feedback","330021","","cross_check_feedback","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65883.90000000596","","last_instruct","395907","","instruct","","","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","398920","","black_plus_sign","","","","","null","US_Cities_List/snail.png","US_Cities_List/gong.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","399529","","blue","","","","","null","US_Cities_List/snail.png","US_Cities_List/gong.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","400032","","blue","","","","","null","US_Cities_List/snail.png","US_Cities_List/gong.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1162.7000000029802","","rt_thecrossant_black","401430","","black_plus_sign","","","","","49","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","401536","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
