rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,unknowncity,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments
3887.600000143051,{worker_id:682dd11f39ce4e00502afaf7},id_enter,3889,intro,New Hope; Gatlinburg; Boulder; Leesburg; Hanover; Racine; Hot Springs; Peoria; Shreveport; West Palm Beach; Cornwall; Carmel; Huntsville,US_Cities_List/mm_newhope.png; US_Cities_List/mm_gatlinburg.png; US_Cities_List/nat_boulder.png; US_Cities_List/nat_leesburg.png; US_Cities_List/mm_hanover.png; US_Cities_List/mm_racine.png; US_Cities_List/mm_hotsprings.png; US_Cities_List/nat_peoria.png; US_Cities_List/nat_shreveport.png; US_Cities_List/mm_westpalmbeach.png; US_Cities_List/mm_cornwall.png; US_Cities_List/nat_carmel.png; US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000.5,,fullscreen,19893,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5317.5,,intro_1,25211,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8244.5,,intro_2,33457,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8864.5,,intro_3,42322,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10053,,intro_4,52376,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31382.799999952316,,intro_5,83760,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23132.5,,intro_6,106893,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,107877,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,108299,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
