rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,unknowncity,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments
8387,{worker_id:66e4c4358de330a06b4d33f1},id_enter,8389,intro,Shreveport; New Hope; Hanover; Racine; Carmel; Cornwall; Huntsville; West Palm Beach; Hot Springs; Gatlinburg; Peoria; Boulder; Leesburg,US_Cities_List/nat_shreveport.png; US_Cities_List/nat_newhope.png; US_Cities_List/mm_hanover.png; US_Cities_List/nat_racine.png; US_Cities_List/nat_carmel.png; US_Cities_List/nat_cornwall.png; US_Cities_List/mm_huntsville.png; US_Cities_List/mm_westpalmbeach.png; US_Cities_List/nat_hotsprings.png; US_Cities_List/mm_gatlinburg.png; US_Cities_List/nat_peoria.png; US_Cities_List/nat_boulder.png; US_Cities_List/mm_leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9498,,fullscreen,17890,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8145,,intro_1,26039,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434,,intro_2,36473,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094,,intro_3,46570,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11420,,intro_4,57992,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5460,,intro_5,63454,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21007,,intro_6,84464,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,84874,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,85868,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,prac_atten_color_black,87870,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,88280,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,,prac_atten_color,89198,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,91199,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,91727,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,92366,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,prac_atten_color_black,94368,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,95133,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,,prac_atten_color,96072,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,98074,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,98539,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
