rt,responses,trial_type,time_elapsed,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
7992.200000000186,{worker_id:3024},id_enter,7994,blocked,intro,Orchard Bend; Claywater; Hawthorne Bluffs; Delaro Park; Granton Ridge; Juniper Creek; Baymarsh; North Arroya; Cedarwyn; Sunmere; New Verdan; Riverlyn; Hollendale,US_Cities_List/dustpan.png; US_Cities_List/camera.png; US_Cities_List/gong.png; US_Cities_List/teeth.png; US_Cities_List/wheelchair.png; US_Cities_List/globe.png; US_Cities_List/soldier.png; US_Cities_List/basket.png; US_Cities_List/paint.png; US_Cities_List/hat.png; US_Cities_List/snail.png; US_Cities_List/barrel.png; US_Cities_List/jukebox.png,,,,,,,,,,,,,,,,,,,,,,,
2984.0999999996275,,fullscreen,10987,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
272061,,intro_1,283054,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
9426.599999999627,,intro_2,292483,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
7565.299999999814,,intro_3,300051,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
3590,,intro_4,303644,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
6224.4000000003725,,intro_5,309871,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
14082.399999999441,,intro_6,323956,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
4888.5,,intro_7,328847,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
8769.5,,intro_8,337619,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
3358.7000000001863,,intro_9,340980,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
4411.200000000186,,intro_10,345394,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
4363.5999999996275,,intro_11,349760,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
10788.799999999814,,intro_12,360551,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,361402,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,361960,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
94.80000000074506,,prac_atten_color_black,363963,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
6046.5999999996275,,attentioncheck_help,370013,,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,370862,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
452.70000000018626,,prac_atten_color,371418,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,373421,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,374273,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,374707,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
202.5,,prac_atten_color_black,376710,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,377684,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
547.8000000007451,,prac_atten_color,378497,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,380500,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,381095,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
429,,prac_atten_color,382037,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,384041,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,384504,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
409.20000000018626,,prac_atten_color,385284,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,387287,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,387914,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
335.20000000018626,,prac_atten_color,388635,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,390638,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,391325,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
