rt,responses,trial_type,time_elapsed,stimulus,key_press,stimulus_left,stimulus_right,accuracy,cummulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weightedaccuracy,missedtrial,weighted_accuracy,condition,specific_pairs,linedress,linedressed,detectfocus
6353,{worker_id:JerryTest02},id_enter,6355,,,,,,,,,,,,,,,,,,,,
1110.999999999999,,intro_0,7468,instruct,32,,,,,,,,,,,,,,,,,,
579.0000000000018,,intro_1,8048,instruct,32,,,,,,,,,,,,,,,,,,
190.99999999999818,,intro_2,8241,instruct,32,,,,,,,,,,,,,,,,,,
195,,intro_3,8438,instruct,32,,,,,,,,,,,,,,,,,,
190.99999999999818,,intro_4,8630,instruct,32,,,,,,,,,,,,,,,,,,
348,,intro_5,8979,instruct,32,,,,,,,,,,,,,,,,,,
397.0000000000018,,intro_6,9378,instruct,32,,,,,,,,,,,,,,,,,,
533,,intro_7,9912,instruct,32,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),10471,black_plus_sign,null,Racine.png,Sitka.png,,,,,,,,,,,,,,,,
null,,rt_learn_phase(with_color),10579,blue,null,Racine.png,Sitka.png,,,,,,,,,,,,,,,,
375,,rt_plussign_withcolor,11435,blue,50,Racine.png,Sitka.png,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,12597,black_plus_sign,null,,,0,0,,,,,,,,,,,,,,
null,,color_black,14453,black_plus_sign,null,,,,,,,,,,,,,,,,,,
null,,thebreak,14561,<p></p>,null,,,,,,,,,,,,,,,,,,
1181.9999999999982,,intro_0,15746,instruct,32,,,,,,,,,,,,,,,,,,
721.0000000000018,,intro_1,16468,instruct,32,,,,,,,,,,,,,,,,,,
308,,intro_2,16777,instruct,32,,,,,,,,,,,,,,,,,,
1875,,directmemory_phase,21780,Racine.png,50,,,0,0,Medora.png,Aliance.png,Newport.png,Medora.png,Newport.png,Aliance.png,0,closer,0.5,,,,,
null,,thebreak,21889,<p></p>,null,,,,,,,,,,,,,,,,,,
998,,intro_0,22891,instruct,32,,,,,,,,,,,,,,,,,,
444,,intro_1,23337,instruct,32,,,,,,,,,,,,,,,,,,
343,,intro_2,23681,instruct,32,,,,,,,,,,,,,,,,,,
2797.9999999999964,,intro_3,26482,instruct,32,,,,,,,,,,,,,,,,,,
452,,intro_4,26936,instruct,32,,,,,,,,,,,,,,,,,,
995.0000000000036,,shortestpath_phase,29940,Yukon.png,50,ParkCity.png,Cornwall.png,1,1,,,,Cornwall.png,,,,,,One Edge Diff,Two Edge Three Edge,,,
null,,thebreak,30050,<p></p>,null,,,,,,,,,,,,,,,,,,
689,,intro_0,30742,instruct,32,,,,,,,,,,,,,,,,,,
483,,intro_1,31227,instruct,32,,,,,,,,,,,,,,,,,,
392,,intro_2,31621,instruct,32,,,,,,,,,,,,,,,,,,
273.00000000000364,,intro_3,31897,instruct,32,,,,,,,,,,,,,,,,,,
240,,intro_4,32139,instruct,32,,,,,,,,,,,,,,,,,,
168,,intro_5,32309,instruct,32,,,,,,,,,,,,,,,,,,
,,Goal Directed Planning,40060,,,,,,,,,,,,,,,,,,,undefineddrag09drag01:[x1:543 x2:74 y1:170.5 y2:200]drag09drag10:[x1:543 x2:1074 y1:171 y2:200],
,,Goal Directed Planning,43009,,,,,,,,,,,,,,,,Three Edge Diff,,,,
901,,thank_you,43914,<p> Congratulations, you are all done!</p><p>The secret code to enter at the beginning screen is: AJFHBG897</p><p> Please make sure to submit the HIT and email mnadkarn@gmail.com if you had any issues! </p>,32,,,,,,,,,,,,,,,,,,0
