rt,responses,trial_type,time_elapsed,stimulus,key_press,stimulus_left,stimulus_right,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,correctness,accuracy,condition,linedress,linedressed,detectfocus
8514.599999904633,{worker_id:SharonTheBest},id_enter,8517,,,,,,,,,,,,,,
1012.6000003814697,,intro_0,9531,instruct,32,,,,,,,,,,,,
504.2000002861023,,intro_1,10036,instruct,32,,,,,,,,,,,,
769,,intro_2,10806,instruct,32,,,,,,,,,,,,
475.40000009536743,,intro_3,11282,instruct,32,,,,,,,,,,,,
581.0999999046326,,intro_4,11863,instruct,32,,,,,,,,,,,,
664.8000001907349,,intro_5,12529,instruct,32,,,,,,,,,,,,
635.6999998092651,,intro_6,13165,instruct,32,,,,,,,,,,,,
null,,learn_phase(without_color),13569,black_plus_sign,null,Racine.png,ParkCity.png,,,,,,,,,,
null,,rt_learn_phase(with_color),13672,blue,null,Racine.png,ParkCity.png,,,,,,,,,,
357.09999990463257,,rt_plussign_withcolor,14675,blue,49,Racine.png,ParkCity.png,,,,,,,,,,
null,,rt_thecrossant_black,14678,black_plus_sign,null,,,,,,,,,,,,
null,,color_black,16680,black_plus_sign,null,,,,,,,,,,,,
null,,learn_phase(without_color),17207,black_plus_sign,null,Cornwall.png,Medora.png,,,,,,,,,,
null,,rt_learn_phase(with_color),17310,green,null,Cornwall.png,Medora.png,,,,,,,,,,
409.40000009536743,,rt_plussign_withcolor,18190,green,50,Cornwall.png,Medora.png,,,,,,,,,,
null,,rt_thecrossant_black,18318,black_plus_sign,null,,,,,,,,,,,,
null,,color_black,20197,black_plus_sign,null,,,,,,,,,,,,
null,,learn_phase(without_color),20944,black_plus_sign,null,Medora.png,Racine.png,,,,,,,,,,
null,,rt_learn_phase(with_color),21046,blue,null,Medora.png,Racine.png,,,,,,,,,,
410.90000009536743,,rt_plussign_withcolor,21705,blue,49,Medora.png,Racine.png,,,,,,,,,,
null,,rt_thecrossant_black,22050,black_plus_sign,null,,,,,,,,,,,,
null,,color_black,23711,black_plus_sign,null,,,,,,,,,,,,
null,,learn_phase(without_color),24096,black_plus_sign,null,Newport.png,ParkCity.png,,,,,,,,,,
null,,rt_learn_phase(with_color),24199,blue,null,Newport.png,ParkCity.png,,,,,,,,,,
439.90000009536743,,rt_plussign_withcolor,25219,blue,49,Newport.png,ParkCity.png,,,,,,,,,,
null,,rt_thecrossant_black,25225,black_plus_sign,null,,,,,,,,,,,,
null,,color_black,27246,black_plus_sign,null,,,,,,,,,,,,
null,,learn_phase(without_color),28061,black_plus_sign,null,Boulder.png,Custer.png,,,,,,,,,,
null,,rt_learn_phase(with_color),28163,green,null,Boulder.png,Custer.png,,,,,,,,,,
216,,rt_plussign_withcolor,28755,green,50,Boulder.png,Custer.png,,,,,,,,,,
null,,rt_thecrossant_black,29169,black_plus_sign,null,,,,,,,,,,,,
null,,color_black,30760,black_plus_sign,null,,,,,,,,,,,,
null,,learn_phase(without_color),31724,black_plus_sign,null,Aliance.png,Boulder.png,,,,,,,,,,
null,,rt_learn_phase(with_color),31827,blue,null,Aliance.png,Boulder.png,,,,,,,,,,
334.59999990463257,,rt_plussign_withcolor,32271,blue,50,Aliance.png,Boulder.png,,,,,,,,,,
null,,rt_thecrossant_black,32835,black_plus_sign,null,,,,,,,,,,,,
null,,color_black,34277,black_plus_sign,null,,,,,,,,,,,,
null,,learn_phase(without_color),35201,black_plus_sign,null,Boulder.png,Custer.png,,,,,,,,,,
null,,rt_learn_phase(with_color),35304,green,null,Boulder.png,Custer.png,,,,,,,,,,
408.90000009536743,,rt_plussign_withcolor,35787,green,50,Boulder.png,Custer.png,,,,,,,,,,
null,,rt_thecrossant_black,36310,black_plus_sign,null,,,,,,,,,,,,
null,,color_black,37794,black_plus_sign,null,,,,,,,,,,,,
null,,learn_phase(without_color),38468,black_plus_sign,null,Racine.png,Sitka.png,,,,,,,,,,
null,,rt_learn_phase(with_color),38571,blue,null,Racine.png,Sitka.png,,,,,,,,,,
297.80000019073486,,rt_plussign_withcolor,39304,blue,49,Racine.png,Sitka.png,,,,,,,,,,
null,,rt_thecrossant_black,39579,black_plus_sign,null,,,,,,,,,,,,
null,,color_black,41311,black_plus_sign,null,,,,,,,,,,,,
null,,learn_phase(without_color),41950,black_plus_sign,null,Medora.png,Racine.png,,,,,,,,,,
null,,rt_learn_phase(with_color),42053,blue,null,Medora.png,Racine.png,,,,,,,,,,
288.30000019073486,,rt_plussign_withcolor,42821,blue,49,Medora.png,Racine.png,,,,,,,,,,
null,,rt_thecrossant_black,43059,black_plus_sign,null,,,,,,,,,,,,
null,,color_black,44826,black_plus_sign,null,,,,,,,,,,,,
null,,learn_phase(without_color),45593,black_plus_sign,null,Newport.png,ParkCity.png,,,,,,,,,,
null,,rt_learn_phase(with_color),45696,blue,null,Newport.png,ParkCity.png,,,,,,,,,,
231.59999990463257,,rt_plussign_withcolor,46336,blue,49,Newport.png,ParkCity.png,,,,,,,,,,
null,,rt_thecrossant_black,46701,black_plus_sign,null,,,,,,,,,,,,
null,,color_black,48341,black_plus_sign,null,,,,,,,,,,,,
null,,thebreak,48445,<p></p>,null,,,,,,,,,,,,
581,,intro_0,49026,instruct,32,,,,,,,,,,,,
543.5,,intro_1,49571,instruct,32,,,,,,,,,,,,
414.40000009536743,,intro_2,49986,instruct,32,,,,,,,,,,,,
791.5,,directmemory_phase,52989,Yukon.png,49,,,Sitka.png,Custer.png,ParkCity.png,Custer.png,0,0,,,,
1545.6999998092651,,directmemory_phase,55994,Boulder.png,50,,,Medora.png,Aliance.png,Newport.png,Aliance.png,1,0.5,,,,
1367,,directmemory_phase,58998,Cornwall.png,49,,,Boulder.png,Newport.png,Sitka.png,Boulder.png,1,0.6666666666666666,,,,
1162.0999999046326,,directmemory_phase,62001,ParkCity.png,51,,,Medora.png,Racine.png,Cornwall.png,Racine.png,0,0.5,,,,
910.3999996185303,,directmemory_phase,65005,Aliance.png,50,,,ParkCity.png,Boulder.png,Medora.png,Boulder.png,1,0.6,,,,
1669.9000000953674,,directmemory_phase,68008,Newport.png,50,,,Yukon.png,Medora.png,Aliance.png,Medora.png,1,0.6666666666666666,,,,
1574.7000002861023,,directmemory_phase,71011,Custer.png,50,,,Medora.png,DelawareCity.png,Aliance.png,DelawareCity.png,1,0.7142857142857143,,,,
1695.1999998092651,,directmemory_phase,74015,DelawareCity.png,50,,,Medora.png,Custer.png,Newport.png,Custer.png,1,0.75,,,,
1674.1999998092651,,directmemory_phase,77019,Medora.png,49,,,Newport.png,ParkCity.png,Boulder.png,Newport.png,1,0.7777777777777778,,,,
1760.3999996185303,,directmemory_phase,80023,Sitka.png,50,,,Racine.png,WestPalmBeach.png,Custer.png,Racine.png,0,0.7,,,,
null,,thebreak,80125,<p></p>,null,,,,,,,,,,,,
925.4000000953674,,intro_0,81052,instruct,32,,,,,,,,,,,,
383.40000009536743,,intro_1,81437,instruct,32,,,,,,,,,,,,
445.59999990463257,,intro_2,81884,instruct,32,,,,,,,,,,,,
419.7999997138977,,intro_3,82306,instruct,32,,,,,,,,,,,,
1899.0999999046326,,shortestpath_phase,85309,ParkCity.png,49,WestPalmBeach.png,Aliance.png,,,,WestPalmBeach.png,1,1,One Edge Diff,,,
1780.1999998092651,,shortestpath_phase,88313,DelawareCity.png,49,Newport.png,Boulder.png,,,,Boulder.png,0,0.5,Three Edge Diff,,,
860.5999999046326,,shortestpath_phase,91317,Aliance.png,49,Newport.png,Cornwall.png,,,,Cornwall.png,0,0.3333333333333333,Three Edge Diff,,,
