rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,unknowncity,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments,,
4283,{worker_id:628f7e982aad1788d940317a},id_enter,4286,intro,Hot Springs; Gatlinburg; Racine; West Palm Beach; Boulder; Leesburg; Huntsville; Cornwall; Shreveport; Peoria; Carmel; Hanover; New Hope,US_Cities_List/mm_hotsprings.png; US_Cities_List/nat_gatlinburg.png; US_Cities_List/nat_racine.png; US_Cities_List/nat_westpalmbeach.png; US_Cities_List/nat_boulder.png; US_Cities_List/mm_leesburg.png; US_Cities_List/nat_huntsville.png; US_Cities_List/nat_cornwall.png; US_Cities_List/nat_shreveport.png; US_Cities_List/nat_peoria.png; US_Cities_List/nat_carmel.png; US_Cities_List/mm_hanover.png; US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41691.2,,fullscreen,45982,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10918.4,,intro_1,56925,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12766,,intro_2,69717,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34534.3,,intro_3,104253,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13726.4,,intro_4,117981,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12062.8,,intro_5,130045,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22358.7,,intro_6,152405,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,152920,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,153808,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,155810,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12308.6,,attentioncheck_help,168119,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,168635,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,169365,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330.5,,prac_atten_color_black,171367,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8576.3,,attentioncheck_help,179944,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,180617,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,181039,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.4,,prac_atten_color_black,183040,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,184021,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713.4000001,,prac_atten_color,184966,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,186968,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,187426,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612.8,,prac_atten_color,188507,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
