rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,unknowncity,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments,,
8446.1,{worker_id:67e2b86a96de1816df85cefe},id_enter,8453,intro,Shreveport; Carmel; Leesburg; Boulder; Cornwall; Gatlinburg; Hot Springs; Racine; Hanover; West Palm Beach; Peoria; Huntsville; New Hope,US_Cities_List/mm_shreveport.png; US_Cities_List/nat_carmel.png; US_Cities_List/nat_leesburg.png; US_Cities_List/mm_boulder.png; US_Cities_List/nat_cornwall.png; US_Cities_List/nat_gatlinburg.png; US_Cities_List/mm_hotsprings.png; US_Cities_List/nat_racine.png; US_Cities_List/nat_hanover.png; US_Cities_List/nat_westpalmbeach.png; US_Cities_List/mm_peoria.png; US_Cities_List/mm_huntsville.png; US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18879.1,,fullscreen,27350,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11384.5,,intro_1,38737,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35851,,intro_2,74591,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56277.9,,intro_3,130873,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19794,,intro_4,150669,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9296.9,,intro_5,159973,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87110.2,,intro_6,247085,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,247780,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,248513,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.1,,prac_atten_color_black,250516,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,251214,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,252152,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201.2,,prac_atten_color_black,254155,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,254627,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,,prac_atten_color,255676,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,257679,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,258053,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,258587,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.5,,prac_atten_color_black,260597,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,261487,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509.1999999,,prac_atten_color,262179,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,264188,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,264905,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,,prac_atten_color,265742,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,267745,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,268319,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728.2,,prac_atten_color,269194,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,271198,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,271737,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,,prac_atten_color,272679,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,274691,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,275166,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,275800,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.2,,prac_atten_color_black,277806,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,278586,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614.6,,prac_atten_color,279521,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,281529,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28884.5,,attentioncheck_feedback,310416,cross_check_feedback,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56400.1,,last_instruct,366818,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),368872,black_plus_sign,,,,,null,US_Cities_List/nat_hanover.png,US_Cities_List/mm_peoria.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),369593,green,,,,,null,US_Cities_List/nat_hanover.png,US_Cities_List/mm_peoria.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,370100,green,,,,,null,US_Cities_List/nat_hanover.png,US_Cities_List/mm_peoria.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,,rt_thecrossant_black,371398,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,371503,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),374061,black_plus_sign,,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_boulder.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),374832,green,,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_boulder.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,375337,green,,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_boulder.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676.4,,rt_thecrossant_black,376581,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,376684,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),379247,black_plus_sign,,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),379969,blue,,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,380476,blue,,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400.3,,rt_thecrossant_black,381762,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,381865,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),384442,black_plus_sign,,,,,null,US_Cities_List/nat_hanover.png,US_Cities_List/mm_peoria.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),385525,green,,,,,null,US_Cities_List/nat_hanover.png,US_Cities_List/mm_peoria.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,386031,green,,,,,null,US_Cities_List/nat_hanover.png,US_Cities_List/mm_peoria.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253.7,,rt_thecrossant_black,386960,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,387071,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),389639,black_plus_sign,,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/nat_leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),390298,blue,,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/nat_leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,390802,blue,,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/nat_leesburg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720.2,,rt_thecrossant_black,392159,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,392262,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),394813,black_plus_sign,,,,,null,US_Cities_List/mm_peoria.png,US_Cities_List/mm_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),395745,green,,,,,null,US_Cities_List/mm_peoria.png,US_Cities_List/mm_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,396262,green,,,,,null,US_Cities_List/mm_peoria.png,US_Cities_List/mm_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,,rt_thecrossant_black,397353,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,397456,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),400013,black_plus_sign,,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),400585,green,,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,401098,green,,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762.7,,rt_thecrossant_black,402537,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,402656,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),405220,black_plus_sign,,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),406097,green,,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,406612,green,,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
