rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,unknowncity,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments,,
3887.6,{worker_id:682dd11f39ce4e00502afaf7},id_enter,3889,intro,New Hope; Gatlinburg; Boulder; Leesburg; Hanover; Racine; Hot Springs; Peoria; Shreveport; West Palm Beach; Cornwall; Carmel; Huntsville,US_Cities_List/mm_newhope.png; US_Cities_List/mm_gatlinburg.png; US_Cities_List/nat_boulder.png; US_Cities_List/nat_leesburg.png; US_Cities_List/mm_hanover.png; US_Cities_List/mm_racine.png; US_Cities_List/mm_hotsprings.png; US_Cities_List/nat_peoria.png; US_Cities_List/nat_shreveport.png; US_Cities_List/mm_westpalmbeach.png; US_Cities_List/mm_cornwall.png; US_Cities_List/nat_carmel.png; US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000.5,,fullscreen,19893,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5317.5,,intro_1,25211,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8244.5,,intro_2,33457,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8864.5,,intro_3,42322,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10053,,intro_4,52376,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31382.8,,intro_5,83760,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23132.5,,intro_6,106893,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,107877,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,108299,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.5,,prac_atten_color_black,110301,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,111285,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439.4000001,,prac_atten_color,112123,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,114125,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4769.1,,attentioncheck_help,118895,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,119461,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,120149,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179.9000001,,prac_atten_color_black,122152,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,122868,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454.3000002,,prac_atten_color,123712,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,125714,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,126274,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458.3,,prac_atten_color,127098,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,129100,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,129682,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491.3,,prac_atten_color,130573,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,132575,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,133087,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461.7,,prac_atten_color,134042,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,136044,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,136493,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521.1999998,,prac_atten_color,137093,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,139094,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,139899,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549.3000002,,prac_atten_color,140619,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,142621,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,143306,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,143732,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265.7,,prac_atten_color_black,145734,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6750.9,,attentioncheck_feedback,152486,cross_check_feedback,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12182.4,,last_instruct,164669,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),166681,black_plus_sign,,,,,null,US_Cities_List/nat_boulder.png,US_Cities_List/mm_racine.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
