rt,responses,trial_type,time_elapsed,condition,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial
5946.4000000003725,{worker_id:3007},id_enter,5948,1,intro,Cornwall; Huntsville; Carmel; Hot Springs; Boulder; Racine; Leesburg; Peoria; West Palm Beach; Hanover; Gatlinburg; New Hope; Shreveport,US_Cities_List/nat_cornwall.png; US_Cities_List/nat_huntsville.png; US_Cities_List/mm_carmel.png; US_Cities_List/nat_hotsprings.png; US_Cities_List/nat_boulder.png; US_Cities_List/mm_racine.png; US_Cities_List/mm_leesburg.png; US_Cities_List/mm_peoria.png; US_Cities_List/mm_westpalmbeach.png; US_Cities_List/mm_hanover.png; US_Cities_List/nat_gatlinburg.png; US_Cities_List/nat_newhope.png; US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,,,,,
8336.900000000373,,fullscreen,14291,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,
6387.600000000559,,intro_1,20681,,instruct,,,0,,,,,,,,,,,,,,,,,,,,
8964.600000000559,,intro_2,29648,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,
13149,,intro_3,42799,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,
10032.400000000373,,intro_4,52834,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,
13663,,intro_5,66499,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,
11759.200000000186,,intro_6,78260,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,78974,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
399.70000000018626,,prac_atten_color,79668,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,81672,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,82386,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
530.8999999994412,,prac_atten_color,83032,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,85035,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,85796,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
861.5999999996275,,prac_atten_color,86763,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,88765,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,89205,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
477.5,,prac_atten_color,90224,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,92227,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,92616,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
566.2000000001863,,prac_atten_color,93500,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,95503,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,96026,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
481.8999999994412,,prac_atten_color,97093,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,99096,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,99437,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
597.5,,prac_atten_color,100137,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,102140,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,102847,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,103295,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,
159.29999999981374,,prac_atten_color_black,105298,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,106257,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
432.1000000005588,,prac_atten_color,107193,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,109196,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,109668,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
577,,prac_atten_color,110273,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,112276,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
6197.899999999441,,attentioncheck_feedback,118477,,cross_check_feedback,,,0,,,,,,,,,,,,,,,,,,,,
9300,,last_instruct,127778,,instruct,,,,,32,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),130801,,black_plus_sign,,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/nat_gatlinburg.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),131494,,green,,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/nat_gatlinburg.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,131997,,green,,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/nat_gatlinburg.png,,,,,,,,,,,,,,,,
920.4000000003725,,rt_thecrossant_black,133310,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,
null,,color_black,133414,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),136437,,black_plus_sign,,,,,null,US_Cities_List/mm_carmel.png,US_Cities_List/mm_racine.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),137202,,green,,,,,null,US_Cities_List/mm_carmel.png,US_Cities_List/mm_racine.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,137705,,green,,,,,null,US_Cities_List/mm_carmel.png,US_Cities_List/mm_racine.png,,,,,,,,,,,,,,,,
1069.7000000001863,,rt_thecrossant_black,138946,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,
null,,color_black,139049,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),142070,,black_plus_sign,,,,,null,US_Cities_List/nat_hotsprings.png,US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,
