,rt,trial_type,time_elapsed,sequence,stimulus,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_correct,condition,specific_pairs,partid
2723,2880.300000011921,shortestpath_phase,1350749,blocked,GW/racine.png,49.0,GW/hotsprings.png,GW/leesburg.png,1.0,1.0,GW/hotsprings.png,Three Edge Diff,Two Edge Five Edge,560ce65601c38a0012769e20
2725,1789.5,shortestpath_phase,1353541,blocked,GW/gatlinburg.png,50.0,GW/racine.png,GW/peoria.png,1.0,1.0,GW/peoria.png,One Edge Diff,Two Edge Three Edge,560ce65601c38a0012769e20
2727,3055.5,shortestpath_phase,1357599,blocked,GW/carmel.png,50.0,GW/shreveport.png,GW/racine.png,0.0,0.6666666666666666,GW/shreveport.png,Four Edge Diff,Two Edge Six Edge,560ce65601c38a0012769e20
2729,2112.4000000059605,shortestpath_phase,1360714,blocked,GW/racine.png,49.0,GW/hanover.png,GW/hotsprings.png,0.0,0.5,GW/hotsprings.png,Four Edge Diff,Two Edge Six Edge,560ce65601c38a0012769e20
2731,3289.5999999940395,shortestpath_phase,1365006,blocked,GW/peoria.png,50.0,GW/shreveport.png,GW/hanover.png,0.0,0.4,GW/shreveport.png,One Edge Diff,Four Edge Five Edge,560ce65601c38a0012769e20
2733,1940.7000000178816,shortestpath_phase,1367948,blocked,GW/carmel.png,49.0,GW/hotsprings.png,GW/newhope.png,1.0,0.5,GW/hotsprings.png,Two Edge Diff,Four Edge Six Edge,560ce65601c38a0012769e20
2735,2859.800000011921,shortestpath_phase,1371811,blocked,GW/hanover.png,50.0,GW/racine.png,GW/cornwall.png,1.0,0.5714285714285714,GW/cornwall.png,Four Edge Diff,Two Edge Six Edge,560ce65601c38a0012769e20
2737,2831.4000000059605,shortestpath_phase,1375645,blocked,GW/newhope.png,49.0,GW/leesburg.png,GW/hotsprings.png,0.0,0.5,GW/hotsprings.png,Two Edge Diff,Three Edge Five Edge,560ce65601c38a0012769e20
2739,2014.4000000059605,shortestpath_phase,1378661,blocked,GW/carmel.png,49.0,GW/shreveport.png,GW/peoria.png,1.0,0.5555555555555556,GW/shreveport.png,Three Edge Diff,Two Edge Five Edge,560ce65601c38a0012769e20
2741,3331.0999999940395,shortestpath_phase,1382995,blocked,GW/hanover.png,50.0,GW/huntsville.png,GW/racine.png,0.0,0.5,GW/huntsville.png,Four Edge Diff,Two Edge Six Edge,560ce65601c38a0012769e20
2743,3575.7000000178814,shortestpath_phase,1387572,blocked,GW/carmel.png,50.0,GW/cornwall.png,GW/racine.png,0.0,0.4545454545454545,GW/cornwall.png,Four Edge Diff,Two Edge Six Edge,560ce65601c38a0012769e20
2745,2689.9000000059605,shortestpath_phase,1391264,blocked,GW/hanover.png,49.0,GW/leesburg.png,GW/peoria.png,1.0,0.5,GW/leesburg.png,Three Edge Diff,Two Edge Five Edge,560ce65601c38a0012769e20
2747,2610.0,shortestpath_phase,1394877,blocked,GW/newhope.png,49.0,GW/gatlinburg.png,GW/hanover.png,1.0,0.5384615384615384,GW/gatlinburg.png,Two Edge Diff,Three Edge Five Edge,560ce65601c38a0012769e20
2749,2370.800000011921,shortestpath_phase,1398250,blocked,GW/leesburg.png,50.0,GW/racine.png,GW/peoria.png,1.0,0.5714285714285714,GW/peoria.png,One Edge Diff,Four Edge Five Edge,560ce65601c38a0012769e20
2751,2659.800000011921,shortestpath_phase,1401912,blocked,GW/carmel.png,50.0,GW/boulder.png,GW/shreveport.png,1.0,0.6,GW/shreveport.png,Three Edge Diff,Three Edge Six Edge,560ce65601c38a0012769e20
2753,3192.9000000059605,shortestpath_phase,1406108,blocked,GW/peoria.png,50.0,GW/newhope.png,GW/shreveport.png,0.0,0.5625,GW/newhope.png,Two Edge Diff,Two Edge Four Edge,560ce65601c38a0012769e20
2755,3390.9000000059605,shortestpath_phase,1410501,blocked,GW/leesburg.png,50.0,GW/boulder.png,GW/hanover.png,1.0,0.5882352941176471,GW/hanover.png,Two Edge Diff,Two Edge Four Edge,560ce65601c38a0012769e20
2757,2957.800000011921,shortestpath_phase,1414461,blocked,GW/peoria.png,50.0,GW/carmel.png,GW/westpalmbeach.png,1.0,0.6111111111111112,GW/westpalmbeach.png,Three Edge Diff,Three Edge Six Edge,560ce65601c38a0012769e20
2759,2789.9000000059605,shortestpath_phase,1418253,blocked,GW/hanover.png,49.0,GW/huntsville.png,GW/gatlinburg.png,1.0,0.631578947368421,GW/huntsville.png,One Edge Diff,Two Edge Three Edge,560ce65601c38a0012769e20
2761,3543.5,shortestpath_phase,1422798,blocked,GW/peoria.png,50.0,GW/shreveport.png,GW/gatlinburg.png,1.0,0.65,GW/gatlinburg.png,Two Edge Diff,Two Edge Four Edge,560ce65601c38a0012769e20
2763,3071.699999988079,shortestpath_phase,1426872,blocked,GW/hanover.png,49.0,GW/westpalmbeach.png,GW/hotsprings.png,1.0,0.6666666666666666,GW/westpalmbeach.png,One Edge Diff,Three Edge Four Edge,560ce65601c38a0012769e20
2765,2697.7000000178814,shortestpath_phase,1430573,blocked,GW/newhope.png,49.0,GW/peoria.png,GW/leesburg.png,1.0,0.6818181818181818,GW/peoria.png,Three Edge Diff,Three Edge Six Edge,560ce65601c38a0012769e20
2767,3451.800000011921,shortestpath_phase,1435027,blocked,GW/carmel.png,49.0,GW/gatlinburg.png,GW/westpalmbeach.png,1.0,0.6956521739130435,GW/gatlinburg.png,One Edge Diff,Three Edge Four Edge,560ce65601c38a0012769e20
2769,2705.699999988079,shortestpath_phase,1438736,blocked,GW/racine.png,49.0,GW/carmel.png,GW/cornwall.png,0.0,0.6666666666666666,GW/cornwall.png,Two Edge Diff,Four Edge Six Edge,560ce65601c38a0012769e20
2771,2496.300000011921,shortestpath_phase,1442234,blocked,GW/carmel.png,49.0,GW/shreveport.png,GW/newhope.png,1.0,0.68,GW/shreveport.png,Four Edge Diff,Two Edge Six Edge,560ce65601c38a0012769e20
2773,2941.300000011921,shortestpath_phase,1446178,blocked,GW/peoria.png,49.0,GW/gatlinburg.png,GW/hanover.png,1.0,0.6923076923076923,GW/gatlinburg.png,Three Edge Diff,Three Edge Six Edge,560ce65601c38a0012769e20
2775,3479.7000000178814,shortestpath_phase,1450660,blocked,GW/hanover.png,49.0,GW/peoria.png,GW/huntsville.png,0.0,0.6666666666666666,GW/huntsville.png,Three Edge Diff,Three Edge Six Edge,560ce65601c38a0012769e20
2777,4425.300000011921,shortestpath_phase,1456089,blocked,GW/peoria.png,50.0,GW/westpalmbeach.png,GW/hanover.png,0.0,0.6428571428571429,GW/westpalmbeach.png,Three Edge Diff,Two Edge Five Edge,560ce65601c38a0012769e20
2779,1772.9000000059605,shortestpath_phase,1458865,blocked,GW/hanover.png,50.0,GW/racine.png,GW/boulder.png,1.0,0.6551724137931034,GW/boulder.png,Two Edge Diff,Four Edge Six Edge,560ce65601c38a0012769e20
2781,1529.300000011921,shortestpath_phase,1461397,blocked,GW/carmel.png,50.0,GW/westpalmbeach.png,GW/shreveport.png,1.0,0.6666666666666666,GW/shreveport.png,Two Edge Diff,Two Edge Four Edge,560ce65601c38a0012769e20
2783,2880.9000000059605,shortestpath_phase,1465281,blocked,GW/leesburg.png,50.0,GW/racine.png,GW/hanover.png,1.0,0.6774193548387096,GW/hanover.png,Three Edge Diff,Two Edge Five Edge,560ce65601c38a0012769e20
2785,1642.0999999940395,shortestpath_phase,1467926,blocked,GW/racine.png,50.0,GW/gatlinburg.png,GW/leesburg.png,0.0,0.65625,GW/gatlinburg.png,Two Edge Diff,Three Edge Five Edge,560ce65601c38a0012769e20
2787,3104.100000023842,shortestpath_phase,1472032,blocked,GW/hanover.png,50.0,GW/peoria.png,GW/cornwall.png,1.0,0.6666666666666666,GW/cornwall.png,Three Edge Diff,Two Edge Five Edge,560ce65601c38a0012769e20
2789,3431.5,shortestpath_phase,1476466,blocked,GW/peoria.png,50.0,GW/gatlinburg.png,GW/carmel.png,0.0,0.6470588235294118,GW/gatlinburg.png,Three Edge Diff,Two Edge Five Edge,560ce65601c38a0012769e20
2791,2181.0,shortestpath_phase,1479649,blocked,GW/newhope.png,50.0,GW/carmel.png,GW/hanover.png,1.0,0.6571428571428571,GW/hanover.png,One Edge Diff,Five Edge Six Edge,560ce65601c38a0012769e20
2793,2294.899999976158,shortestpath_phase,1482947,blocked,GW/racine.png,50.0,GW/boulder.png,GW/carmel.png,0.0,0.6388888888888888,GW/boulder.png,Four Edge Diff,Two Edge Six Edge,560ce65601c38a0012769e20
2795,3562.2999999821186,shortestpath_phase,1487512,blocked,GW/hanover.png,49.0,GW/huntsville.png,GW/boulder.png,1.0,0.6486486486486487,GW/huntsville.png,Two Edge Diff,Two Edge Four Edge,560ce65601c38a0012769e20
2797,3978.5,shortestpath_phase,1492493,blocked,GW/carmel.png,50.0,GW/peoria.png,GW/cornwall.png,1.0,0.6578947368421053,GW/cornwall.png,Three Edge Diff,Three Edge Six Edge,560ce65601c38a0012769e20
2799,3307.2999999821186,shortestpath_phase,1496803,blocked,GW/leesburg.png,50.0,GW/gatlinburg.png,GW/newhope.png,0.0,0.6410256410256411,GW/gatlinburg.png,Three Edge Diff,Two Edge Five Edge,560ce65601c38a0012769e20
2801,2272.5999999940395,shortestpath_phase,1500078,blocked,GW/hanover.png,49.0,GW/newhope.png,GW/racine.png,1.0,0.65,GW/newhope.png,One Edge Diff,Five Edge Six Edge,560ce65601c38a0012769e20
2803,2001.2000000178816,shortestpath_phase,1503081,blocked,GW/huntsville.png,49.0,GW/boulder.png,GW/newhope.png,1.0,0.6585365853658537,GW/boulder.png,One Edge Diff,Two Edge Three Edge,560ce65601c38a0012769e20
2805,3279.600000023842,shortestpath_phase,1507364,blocked,GW/peoria.png,49.0,GW/huntsville.png,GW/newhope.png,0.0,0.6428571428571429,GW/newhope.png,One Edge Diff,Two Edge Three Edge,560ce65601c38a0012769e20
2807,3280.4000000059605,shortestpath_phase,1511647,blocked,GW/shreveport.png,49.0,GW/racine.png,GW/gatlinburg.png,0.0,0.627906976744186,GW/gatlinburg.png,Three Edge Diff,Two Edge Five Edge,560ce65601c38a0012769e20
2809,1773.300000011921,shortestpath_phase,1514422,blocked,GW/racine.png,49.0,GW/cornwall.png,GW/hanover.png,1.0,0.6363636363636364,GW/cornwall.png,Two Edge Diff,Four Edge Six Edge,560ce65601c38a0012769e20
2811,4629.899999976158,shortestpath_phase,1520054,blocked,GW/hotsprings.png,49.0,GW/huntsville.png,GW/carmel.png,1.0,0.6444444444444445,GW/huntsville.png,One Edge Diff,Three Edge Four Edge,560ce65601c38a0012769e20
2813,3201.0,shortestpath_phase,1524258,blocked,GW/racine.png,49.0,GW/hanover.png,GW/boulder.png,0.0,0.6304347826086957,GW/boulder.png,Four Edge Diff,Two Edge Six Edge,560ce65601c38a0012769e20
2815,2705.5,shortestpath_phase,1527968,blocked,GW/peoria.png,50.0,GW/hanover.png,GW/cornwall.png,1.0,0.6382978723404256,GW/cornwall.png,Two Edge Diff,Three Edge Five Edge,560ce65601c38a0012769e20
2817,2946.0999999940395,shortestpath_phase,1531917,blocked,GW/newhope.png,50.0,GW/racine.png,GW/hanover.png,0.0,0.625,GW/racine.png,Two Edge Diff,Three Edge Five Edge,560ce65601c38a0012769e20
2819,1963.7999999821184,shortestpath_phase,1534884,blocked,GW/leesburg.png,50.0,GW/racine.png,GW/huntsville.png,1.0,0.6326530612244898,GW/huntsville.png,Three Edge Diff,Three Edge Six Edge,560ce65601c38a0012769e20
2821,4434.5,shortestpath_phase,1540321,blocked,GW/westpalmbeach.png,50.0,GW/carmel.png,GW/peoria.png,1.0,0.64,GW/peoria.png,Two Edge Diff,Two Edge Four Edge,560ce65601c38a0012769e20
2823,3639.399999976158,shortestpath_phase,1544977,blocked,GW/racine.png,50.0,GW/carmel.png,GW/leesburg.png,1.0,0.6470588235294118,GW/leesburg.png,One Edge Diff,Five Edge Six Edge,560ce65601c38a0012769e20
2825,4768.899999976158,shortestpath_phase,1550748,blocked,GW/carmel.png,49.0,GW/boulder.png,GW/westpalmbeach.png,0.0,0.6346153846153846,GW/westpalmbeach.png,One Edge Diff,Four Edge Five Edge,560ce65601c38a0012769e20
2827,1990.800000011921,shortestpath_phase,1553741,blocked,GW/leesburg.png,50.0,GW/newhope.png,GW/peoria.png,1.0,0.6415094339622641,GW/peoria.png,One Edge Diff,Four Edge Five Edge,560ce65601c38a0012769e20
2829,4320.199999988079,shortestpath_phase,1559063,blocked,GW/newhope.png,49.0,GW/shreveport.png,GW/carmel.png,1.0,0.6481481481481481,GW/shreveport.png,Two Edge Diff,Four Edge Six Edge,560ce65601c38a0012769e20
