rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,unknowncity,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments,Unnamed: 40,Unnamed: 41,city_type,detectfocus,partid,age
256848.5,{worker_id:67cf70ec9741a100ffc7f570},id_enter,256856,intro,Gatlinburg; Boulder; Shreveport; Carmel; Racine; Peoria; Huntsville; Hanover; Leesburg; Cornwall; New Hope; Hot Springs; West Palm Beach,US_Cities_List/nat_gatlinburg.png; US_Cities_List/mm_boulder.png; US_Cities_List/mm_shreveport.png; US_Cities_List/mm_carmel.png; US_Cities_List/nat_racine.png; US_Cities_List/nat_peoria.png; US_Cities_List/nat_huntsville.png; US_Cities_List/nat_hanover.png; US_Cities_List/mm_leesburg.png; US_Cities_List/nat_cornwall.png; US_Cities_List/nat_newhope.png; US_Cities_List/mm_hotsprings.png; US_Cities_List/mm_westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
1802463.6,,fullscreen,2059339,make_fullscreen,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
14881.9,,intro_1,2074239,instruct,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
18990.9,,intro_2,2093238,instruct,,,1.0,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
17460.5,,intro_3,2110702,instruct,,,1.0,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
30715.7,,intro_4,2141422,instruct,,,1.0,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
11197.4,,intro_5,2152623,instruct,,,1.0,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
48212.5,,intro_6,2200840,instruct,,,1.0,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color_black,2201217,black_plus_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
523.7,,prac_atten_color,2202248,prac_stop_color,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color_black,2204252,black_plus_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color_black,2204629,black_plus_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color,2205210,prac_stop_color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
87.4,,prac_atten_color_black,2207213,black_plus_sign,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color_black,2208040,black_plus_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
452.6,,prac_atten_color,2209017,prac_stop_color,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color_black,2211020,black_plus_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color_black,2211449,black_plus_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color,2211957,prac_stop_color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
275.6,,prac_atten_color_black,2213961,black_plus_sign,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color_black,2214861,black_plus_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
602.2,,prac_atten_color,2215933,prac_stop_color,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color_black,2217937,black_plus_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color_black,2218270,black_plus_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color,2218775,prac_stop_color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
18.7,,prac_atten_color_black,2220779,black_plus_sign,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
,,prac_atten_color_black,2221688,black_plus_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,67cf70ec9741a100ffc7f570,old
