rt,trial_type,stimulus,key_press,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,city_type,partid,age,stimulus_left,stimulus_right,condition,specific_pairs
2778.5,directmemory_phase,node2,49.0,0.0,node7,node6,node4,node4,node6,node7,US,67cf70ec9741a100ffc7f570,old,,,,
4428.5,directmemory_phase,node7,51.0,1.0,node12,node3,node13,node13,node3,node12,US,67cf70ec9741a100ffc7f570,old,,,,
3322.7,directmemory_phase,node1,51.0,1.0,node9,node3,node2,node2,node3,node9,US,67cf70ec9741a100ffc7f570,old,,,,
3231.1,directmemory_phase,node8,49.0,1.0,node9,node4,node13,node9,node13,node4,US,67cf70ec9741a100ffc7f570,old,,,,
3242.2,directmemory_phase,node6,49.0,0.0,node5,node2,node3,node3,node2,node5,US,67cf70ec9741a100ffc7f570,old,,,,
3770.7,directmemory_phase,node8,49.0,0.0,node3,node6,node7,node7,node6,node3,US,67cf70ec9741a100ffc7f570,old,,,,
2452.9,directmemory_phase,node5,49.0,0.0,node11,node2,node4,node4,node2,node11,US,67cf70ec9741a100ffc7f570,old,,,,
1301.0,directmemory_phase,node10,50.0,0.0,node8,node12,node9,node8,node9,node12,US,67cf70ec9741a100ffc7f570,old,,,,
374.0,directmemory_phase,node11,51.0,1.0,node10,node2,node12,node12,node2,node10,US,67cf70ec9741a100ffc7f570,old,,,,
264.3,directmemory_phase,node4,49.0,0.0,node6,node1,node5,node5,node1,node6,US,67cf70ec9741a100ffc7f570,old,,,,
293.4,directmemory_phase,node7,50.0,0.0,node2,node3,node6,node6,node3,node2,US,67cf70ec9741a100ffc7f570,old,,,,
158.4,directmemory_phase,node12,51.0,0.0,node4,node10,node2,node4,node2,node10,US,67cf70ec9741a100ffc7f570,old,,,,
127.2,directmemory_phase,node9,49.0,0.0,node10,node6,node5,node6,node10,node5,US,67cf70ec9741a100ffc7f570,old,,,,
108.2,directmemory_phase,node13,51.0,0.0,node7,node10,node9,node7,node9,node10,US,67cf70ec9741a100ffc7f570,old,,,,
92.7,directmemory_phase,node11,49.0,0.0,node10,node6,node9,node9,node6,node10,US,67cf70ec9741a100ffc7f570,old,,,,
6.600000001,directmemory_phase,node8,50.0,0.0,node4,node11,node10,node10,node11,node4,US,67cf70ec9741a100ffc7f570,old,,,,
572.5,directmemory_phase,node7,50.0,0.0,node2,node3,node9,node9,node3,node2,US,67cf70ec9741a100ffc7f570,old,,,,
266.0,directmemory_phase,node3,51.0,1.0,node8,node4,node2,node2,node4,node8,US,67cf70ec9741a100ffc7f570,old,,,,
291.6,directmemory_phase,node9,49.0,1.0,node8,node1,node13,node8,node13,node1,US,67cf70ec9741a100ffc7f570,old,,,,
109.6,directmemory_phase,node3,51.0,0.0,node12,node6,node8,node6,node12,node8,US,67cf70ec9741a100ffc7f570,old,,,,
0.200000003,directmemory_phase,node9,50.0,1.0,node10,node7,node5,node7,node10,node5,US,67cf70ec9741a100ffc7f570,old,,,,
382.1,directmemory_phase,node4,50.0,1.0,node3,node12,node8,node12,node3,node8,US,67cf70ec9741a100ffc7f570,old,,,,
370.6,directmemory_phase,node6,50.0,1.0,node11,node9,node10,node9,node11,node10,US,67cf70ec9741a100ffc7f570,old,,,,
366.8,directmemory_phase,node4,51.0,1.0,node9,node1,node2,node2,node1,node9,US,67cf70ec9741a100ffc7f570,old,,,,
482.8,directmemory_phase,node6,51.0,1.0,node10,node8,node7,node7,node8,node10,US,67cf70ec9741a100ffc7f570,old,,,,
1691.0,directmemory_phase,node2,51.0,0.0,node11,node3,node7,node3,node11,node7,US,67cf70ec9741a100ffc7f570,old,,,,
