,rt,trial_type,time_elapsed,sequence,stimulus,key_press,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,partid
690,2541.0999999940395,directmemory_phase,960293,interleaved,GW/racine.png,51.0,1.0,1.0,GW/leesburg.png,GW/hanover.png,GW/gatlinburg.png,GW/gatlinburg.png,GW/hanover.png,GW/leesburg.png,1.0,,5faefcc22be93b11829e84df
692,1934.5,directmemory_phase,963234,interleaved,GW/newhope.png,51.0,1.0,1.0,GW/westpalmbeach.png,GW/leesburg.png,GW/cornwall.png,GW/cornwall.png,GW/leesburg.png,GW/westpalmbeach.png,1.0,,5faefcc22be93b11829e84df
694,2211.0,directmemory_phase,966453,interleaved,GW/racine.png,51.0,1.0,1.0,GW/leesburg.png,GW/hanover.png,GW/peoria.png,GW/peoria.png,GW/hanover.png,GW/leesburg.png,1.0,,5faefcc22be93b11829e84df
696,2466.0,directmemory_phase,969926,interleaved,GW/hotsprings.png,49.0,1.0,1.0,GW/newhope.png,GW/gatlinburg.png,GW/huntsville.png,GW/newhope.png,GW/huntsville.png,GW/gatlinburg.png,1.0,,5faefcc22be93b11829e84df
698,1382.6999999955297,directmemory_phase,972315,interleaved,GW/shreveport.png,50.0,1.0,1.0,GW/westpalmbeach.png,GW/cornwall.png,GW/gatlinburg.png,GW/cornwall.png,GW/westpalmbeach.png,GW/gatlinburg.png,1.0,,5faefcc22be93b11829e84df
700,1378.7999999970198,directmemory_phase,974700,interleaved,GW/carmel.png,51.0,1.0,1.0,GW/hanover.png,GW/gatlinburg.png,GW/racine.png,GW/racine.png,GW/gatlinburg.png,GW/hanover.png,1.0,,5faefcc22be93b11829e84df
702,1701.7000000029802,directmemory_phase,977407,interleaved,GW/shreveport.png,51.0,1.0,1.0,GW/peoria.png,GW/boulder.png,GW/hotsprings.png,GW/hotsprings.png,GW/boulder.png,GW/peoria.png,1.0,,5faefcc22be93b11829e84df
704,1060.8000000044703,directmemory_phase,979474,interleaved,GW/peoria.png,49.0,1.0,1.0,GW/hanover.png,GW/huntsville.png,GW/gatlinburg.png,GW/hanover.png,GW/gatlinburg.png,GW/huntsville.png,1.0,,5faefcc22be93b11829e84df
706,2150.20000000298,directmemory_phase,982631,interleaved,GW/huntsville.png,51.0,1.0,1.0,GW/carmel.png,GW/cornwall.png,GW/boulder.png,GW/boulder.png,GW/cornwall.png,GW/carmel.png,1.0,,5faefcc22be93b11829e84df
708,1006.6999999955297,directmemory_phase,984646,interleaved,GW/gatlinburg.png,51.0,1.0,1.0,GW/newhope.png,GW/peoria.png,GW/racine.png,GW/racine.png,GW/peoria.png,GW/newhope.png,1.0,,5faefcc22be93b11829e84df
710,3335.89999999851,directmemory_phase,988988,interleaved,GW/peoria.png,49.0,0.0,0.9090909090909092,GW/hotsprings.png,GW/newhope.png,GW/huntsville.png,GW/newhope.png,GW/hotsprings.png,GW/huntsville.png,0.5,closer,5faefcc22be93b11829e84df
712,2206.10000000149,directmemory_phase,992203,interleaved,GW/hotsprings.png,49.0,1.0,0.9166666666666666,GW/shreveport.png,GW/boulder.png,GW/racine.png,GW/shreveport.png,GW/racine.png,GW/boulder.png,1.0,,5faefcc22be93b11829e84df
714,1890.10000000149,directmemory_phase,995099,interleaved,GW/cornwall.png,49.0,1.0,0.9230769230769232,GW/newhope.png,GW/boulder.png,GW/hotsprings.png,GW/newhope.png,GW/hotsprings.png,GW/boulder.png,1.0,,5faefcc22be93b11829e84df
716,4300.0,directmemory_phase,1000407,interleaved,GW/huntsville.png,51.0,1.0,0.9285714285714286,GW/racine.png,GW/hotsprings.png,GW/leesburg.png,GW/leesburg.png,GW/hotsprings.png,GW/racine.png,1.0,,5faefcc22be93b11829e84df
718,1046.9000000059605,directmemory_phase,1002461,interleaved,GW/hanover.png,50.0,1.0,0.9333333333333332,GW/newhope.png,GW/peoria.png,GW/gatlinburg.png,GW/peoria.png,GW/newhope.png,GW/gatlinburg.png,1.0,,5faefcc22be93b11829e84df
720,2705.39999999851,directmemory_phase,1006173,interleaved,GW/boulder.png,51.0,1.0,0.9375,GW/westpalmbeach.png,GW/leesburg.png,GW/huntsville.png,GW/huntsville.png,GW/leesburg.png,GW/westpalmbeach.png,1.0,,5faefcc22be93b11829e84df
722,1253.10000000149,directmemory_phase,1008433,interleaved,GW/cornwall.png,49.0,1.0,0.9411764705882352,GW/shreveport.png,GW/boulder.png,GW/hotsprings.png,GW/shreveport.png,GW/hotsprings.png,GW/boulder.png,1.0,,5faefcc22be93b11829e84df
724,2944.5,directmemory_phase,1012384,interleaved,GW/leesburg.png,51.0,1.0,0.9444444444444444,GW/racine.png,GW/hotsprings.png,GW/huntsville.png,GW/huntsville.png,GW/hotsprings.png,GW/racine.png,1.0,,5faefcc22be93b11829e84df
726,1687.2999999970198,directmemory_phase,1015079,interleaved,GW/peoria.png,50.0,1.0,0.9473684210526316,GW/gatlinburg.png,GW/racine.png,GW/huntsville.png,GW/racine.png,GW/gatlinburg.png,GW/huntsville.png,1.0,,5faefcc22be93b11829e84df
728,3696.89999999851,directmemory_phase,1019784,interleaved,GW/shreveport.png,49.0,1.0,0.95,GW/leesburg.png,GW/racine.png,GW/westpalmbeach.png,GW/leesburg.png,GW/westpalmbeach.png,GW/racine.png,1.0,,5faefcc22be93b11829e84df
730,1060.10000000149,directmemory_phase,1021850,interleaved,GW/racine.png,51.0,1.0,0.9523809523809524,GW/huntsville.png,GW/newhope.png,GW/carmel.png,GW/carmel.png,GW/newhope.png,GW/huntsville.png,1.0,,5faefcc22be93b11829e84df
732,1834.0,directmemory_phase,1024691,interleaved,GW/leesburg.png,49.0,1.0,0.9545454545454546,GW/shreveport.png,GW/hanover.png,GW/boulder.png,GW/shreveport.png,GW/boulder.png,GW/hanover.png,1.0,,5faefcc22be93b11829e84df
734,1103.39999999851,directmemory_phase,1026803,interleaved,GW/newhope.png,49.0,1.0,0.9565217391304348,GW/hotsprings.png,GW/huntsville.png,GW/shreveport.png,GW/hotsprings.png,GW/shreveport.png,GW/huntsville.png,1.0,,5faefcc22be93b11829e84df
736,3479.0999999940395,directmemory_phase,1031290,interleaved,GW/huntsville.png,51.0,1.0,0.9583333333333334,GW/carmel.png,GW/cornwall.png,GW/shreveport.png,GW/shreveport.png,GW/cornwall.png,GW/carmel.png,1.0,,5faefcc22be93b11829e84df
738,2868.0999999940395,directmemory_phase,1035164,interleaved,GW/cornwall.png,49.0,1.0,0.96,GW/leesburg.png,GW/racine.png,GW/hotsprings.png,GW/leesburg.png,GW/hotsprings.png,GW/racine.png,1.0,,5faefcc22be93b11829e84df
740,1998.9000000059605,directmemory_phase,1038171,interleaved,GW/hotsprings.png,49.0,1.0,0.9615384615384616,GW/carmel.png,GW/westpalmbeach.png,GW/racine.png,GW/carmel.png,GW/racine.png,GW/westpalmbeach.png,1.0,,5faefcc22be93b11829e84df
742,2862.60000000149,directmemory_phase,1042041,interleaved,GW/westpalmbeach.png,50.0,1.0,0.9629629629629628,GW/cornwall.png,GW/leesburg.png,GW/hotsprings.png,GW/leesburg.png,GW/cornwall.png,GW/hotsprings.png,1.0,,5faefcc22be93b11829e84df
744,1394.2000000029802,directmemory_phase,1044441,interleaved,GW/newhope.png,49.0,1.0,0.9642857142857144,GW/peoria.png,GW/huntsville.png,GW/carmel.png,GW/peoria.png,GW/carmel.png,GW/huntsville.png,1.0,,5faefcc22be93b11829e84df
746,2805.20000000298,directmemory_phase,1048254,interleaved,GW/leesburg.png,49.0,1.0,0.9655172413793104,GW/cornwall.png,GW/hanover.png,GW/hotsprings.png,GW/cornwall.png,GW/hotsprings.png,GW/hanover.png,1.0,,5faefcc22be93b11829e84df
748,2326.79999999702,directmemory_phase,1051589,interleaved,GW/shreveport.png,49.0,1.0,0.9666666666666668,GW/huntsville.png,GW/gatlinburg.png,GW/newhope.png,GW/huntsville.png,GW/newhope.png,GW/gatlinburg.png,1.0,,5faefcc22be93b11829e84df
750,2232.4000000059605,directmemory_phase,1054828,interleaved,GW/leesburg.png,51.0,1.0,0.967741935483871,GW/racine.png,GW/hotsprings.png,GW/westpalmbeach.png,GW/westpalmbeach.png,GW/hotsprings.png,GW/racine.png,1.0,,5faefcc22be93b11829e84df
752,792.2999999970198,directmemory_phase,1056628,interleaved,GW/carmel.png,50.0,1.0,0.96875,GW/gatlinburg.png,GW/hotsprings.png,GW/hanover.png,GW/hotsprings.png,GW/gatlinburg.png,GW/hanover.png,1.0,,5faefcc22be93b11829e84df
1671,4083.0,directmemory_phase,1021685,interleaved,GW/peoria.png,50.0,1.0,1.0,GW/newhope.png,GW/huntsville.png,GW/gatlinburg.png,GW/huntsville.png,GW/newhope.png,GW/gatlinburg.png,1.0,,5b09f4f1d282ff00015b536d
1673,2049.5999999940395,directmemory_phase,1024749,interleaved,GW/boulder.png,51.0,1.0,1.0,GW/westpalmbeach.png,GW/hotsprings.png,GW/carmel.png,GW/carmel.png,GW/hotsprings.png,GW/westpalmbeach.png,1.0,,5b09f4f1d282ff00015b536d
1675,1432.5999999940395,directmemory_phase,1027186,interleaved,GW/shreveport.png,50.0,0.0,0.6666666666666666,GW/hotsprings.png,GW/leesburg.png,GW/racine.png,GW/hotsprings.png,GW/racine.png,GW/leesburg.png,0.5,closer,5b09f4f1d282ff00015b536d
1677,2439.300000011921,directmemory_phase,1030629,interleaved,GW/leesburg.png,50.0,0.0,0.5,GW/cornwall.png,GW/westpalmbeach.png,GW/peoria.png,GW/peoria.png,GW/westpalmbeach.png,GW/cornwall.png,0.5,closer,5b09f4f1d282ff00015b536d
