,rt,trial_type,time_elapsed,sequence,stimulus,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_correct,condition,specific_pairs,partid
762,,shortestpath_phase,1143347,interleaved,GW/gatlinburg.png,,GW/shreveport.png,GW/boulder.png,0.0,0.0,GW/shreveport.png,Two Edge Diff,Four Edge Six Edge,5faefcc22be93b11829e84df
765,2106.39999999851,shortestpath_phase,1149462,interleaved,GW/racine.png,49.0,GW/leesburg.png,GW/westpalmbeach.png,1.0,0.5,GW/leesburg.png,One Edge Diff,Four Edge Five Edge,5faefcc22be93b11829e84df
767,2926.1999999955297,shortestpath_phase,1153397,interleaved,GW/gatlinburg.png,49.0,GW/leesburg.png,GW/carmel.png,0.0,0.3333333333333333,GW/carmel.png,Three Edge Diff,Three Edge Six Edge,5faefcc22be93b11829e84df
769,3078.89999999851,shortestpath_phase,1157483,interleaved,GW/westpalmbeach.png,50.0,GW/gatlinburg.png,GW/hanover.png,1.0,0.5,GW/hanover.png,One Edge Diff,Five Edge Six Edge,5faefcc22be93b11829e84df
771,2531.4000000059605,shortestpath_phase,1161023,interleaved,GW/leesburg.png,50.0,GW/peoria.png,GW/hotsprings.png,1.0,0.6,GW/hotsprings.png,One Edge Diff,Two Edge Three Edge,5faefcc22be93b11829e84df
773,1803.0,shortestpath_phase,1163832,interleaved,GW/gatlinburg.png,50.0,GW/carmel.png,GW/boulder.png,0.0,0.5,GW/carmel.png,Four Edge Diff,Two Edge Six Edge,5faefcc22be93b11829e84df
775,1619.0,shortestpath_phase,1166460,interleaved,GW/hanover.png,50.0,GW/cornwall.png,GW/westpalmbeach.png,0.0,0.4285714285714285,GW/cornwall.png,Two Edge Diff,Three Edge Five Edge,5faefcc22be93b11829e84df
777,2473.5,shortestpath_phase,1169941,interleaved,GW/boulder.png,49.0,GW/leesburg.png,GW/hanover.png,1.0,0.5,GW/leesburg.png,Four Edge Diff,Two Edge Six Edge,5faefcc22be93b11829e84df
779,2086.60000000149,shortestpath_phase,1173033,interleaved,GW/westpalmbeach.png,49.0,GW/huntsville.png,GW/gatlinburg.png,1.0,0.5555555555555556,GW/huntsville.png,Four Edge Diff,Two Edge Six Edge,5faefcc22be93b11829e84df
781,2366.0,shortestpath_phase,1176408,interleaved,GW/leesburg.png,50.0,GW/gatlinburg.png,GW/newhope.png,1.0,0.6,GW/newhope.png,Three Edge Diff,Three Edge Six Edge,5faefcc22be93b11829e84df
783,2345.60000000149,shortestpath_phase,1179762,interleaved,GW/boulder.png,50.0,GW/carmel.png,GW/peoria.png,0.0,0.5454545454545454,GW/carmel.png,One Edge Diff,Four Edge Five Edge,5faefcc22be93b11829e84df
785,2039.20000000298,shortestpath_phase,1182808,interleaved,GW/leesburg.png,50.0,GW/racine.png,GW/gatlinburg.png,0.0,0.5,GW/racine.png,One Edge Diff,Four Edge Five Edge,5faefcc22be93b11829e84df
787,2433.8000000044703,shortestpath_phase,1186250,interleaved,GW/gatlinburg.png,49.0,GW/leesburg.png,GW/cornwall.png,0.0,0.4615384615384615,GW/cornwall.png,One Edge Diff,Four Edge Five Edge,5faefcc22be93b11829e84df
789,2650.0,shortestpath_phase,1189908,interleaved,GW/huntsville.png,50.0,GW/gatlinburg.png,GW/westpalmbeach.png,1.0,0.5,GW/westpalmbeach.png,Three Edge Diff,Three Edge Six Edge,5faefcc22be93b11829e84df
791,2216.4000000059605,shortestpath_phase,1193132,interleaved,GW/peoria.png,50.0,GW/hotsprings.png,GW/huntsville.png,0.0,0.4666666666666667,GW/hotsprings.png,Two Edge Diff,Two Edge Four Edge,5faefcc22be93b11829e84df
793,2275.39999999851,shortestpath_phase,1196414,interleaved,GW/boulder.png,50.0,GW/shreveport.png,GW/racine.png,0.0,0.4375,GW/shreveport.png,Three Edge Diff,Three Edge Six Edge,5faefcc22be93b11829e84df
795,1990.79999999702,shortestpath_phase,1199413,interleaved,GW/peoria.png,50.0,GW/boulder.png,GW/huntsville.png,1.0,0.4705882352941176,GW/huntsville.png,One Edge Diff,Four Edge Five Edge,5faefcc22be93b11829e84df
797,1751.5,shortestpath_phase,1202171,interleaved,GW/boulder.png,50.0,GW/gatlinburg.png,GW/carmel.png,1.0,0.5,GW/carmel.png,Two Edge Diff,Four Edge Six Edge,5faefcc22be93b11829e84df
