rt,trial_type,stimulus,key_press,stimulus_left,stimulus_right,accuracy,stimulus_correct,condition,specific_pairs,partid,age
1581.699999988079,shortestpath_phase,GW/barrel.jpg,49.0,GW/gong.jpg,GW/snail.jpg,0.0,GW/snail.jpg,Two Edge Diff,Four Edge Six Edge,67dcc12657e2fe1375df7f89,young
1325.5999999940395,shortestpath_phase,GW/hat.jpg,49.0,GW/gong.jpg,GW/soldier.jpg,0.0,GW/soldier.jpg,Three Edge Diff,Two Edge Five Edge,67dcc12657e2fe1375df7f89,young
1476.800000011921,shortestpath_phase,GW/paint.jpg,49.0,GW/globe.jpg,GW/camera.jpg,1.0,GW/globe.jpg,One Edge Diff,Four Edge Five Edge,67dcc12657e2fe1375df7f89,young
1651.699999988079,shortestpath_phase,GW/gong.jpg,50.0,GW/teeth.jpg,GW/barrel.jpg,0.0,GW/teeth.jpg,Four Edge Diff,Two Edge Six Edge,67dcc12657e2fe1375df7f89,young
1197.9000000059605,shortestpath_phase,GW/basket.jpg,50.0,GW/hat.jpg,GW/dustpan.jpg,1.0,GW/dustpan.jpg,Three Edge Diff,Three Edge Six Edge,67dcc12657e2fe1375df7f89,young
955.8999999910592,shortestpath_phase,GW/paint.jpg,50.0,GW/camera.jpg,GW/teeth.jpg,1.0,GW/teeth.jpg,Three Edge Diff,Two Edge Five Edge,67dcc12657e2fe1375df7f89,young
1578.2000000029802,shortestpath_phase,GW/barrel.jpg,50.0,GW/globe.jpg,GW/gong.jpg,0.0,GW/globe.jpg,Four Edge Diff,Two Edge Six Edge,67dcc12657e2fe1375df7f89,young
1743.3999999910593,shortestpath_phase,GW/snail.jpg,49.0,GW/paint.jpg,GW/basket.jpg,0.0,GW/basket.jpg,One Edge Diff,Two Edge Three Edge,67dcc12657e2fe1375df7f89,young
1125.0,shortestpath_phase,GW/barrel.jpg,50.0,GW/paint.jpg,GW/wheelchair.jpg,1.0,GW/wheelchair.jpg,One Edge Diff,Five Edge Six Edge,67dcc12657e2fe1375df7f89,young
1960.199999988079,shortestpath_phase,GW/gong.jpg,49.0,GW/hat.jpg,GW/teeth.jpg,0.0,GW/teeth.jpg,Three Edge Diff,Two Edge Five Edge,67dcc12657e2fe1375df7f89,young
1450.5999999940395,shortestpath_phase,GW/barrel.jpg,50.0,GW/basket.jpg,GW/gong.jpg,0.0,GW/basket.jpg,One Edge Diff,Five Edge Six Edge,67dcc12657e2fe1375df7f89,young
1774.2999999970198,shortestpath_phase,GW/camera.jpg,50.0,GW/teeth.jpg,GW/gong.jpg,0.0,GW/teeth.jpg,One Edge Diff,Three Edge Four Edge,67dcc12657e2fe1375df7f89,young
1803.29999999702,shortestpath_phase,GW/hat.jpg,49.0,GW/basket.jpg,GW/globe.jpg,0.0,GW/globe.jpg,Two Edge Diff,Three Edge Five Edge,67dcc12657e2fe1375df7f89,young
1585.0,shortestpath_phase,GW/paint.jpg,49.0,GW/hat.jpg,GW/teeth.jpg,0.0,GW/teeth.jpg,Four Edge Diff,Two Edge Six Edge,67dcc12657e2fe1375df7f89,young
1195.7999999970198,shortestpath_phase,GW/barrel.jpg,50.0,GW/paint.jpg,GW/globe.jpg,1.0,GW/globe.jpg,Four Edge Diff,Two Edge Six Edge,67dcc12657e2fe1375df7f89,young
1840.8999999910593,shortestpath_phase,GW/gong.jpg,49.0,GW/camera.jpg,GW/basket.jpg,0.0,GW/basket.jpg,Two Edge Diff,Two Edge Four Edge,67dcc12657e2fe1375df7f89,young
1247.2999999970198,shortestpath_phase,GW/barrel.jpg,50.0,GW/paint.jpg,GW/teeth.jpg,1.0,GW/teeth.jpg,Two Edge Diff,Four Edge Six Edge,67dcc12657e2fe1375df7f89,young
1260.2999999970198,shortestpath_phase,GW/hat.jpg,49.0,GW/paint.jpg,GW/gong.jpg,0.0,GW/gong.jpg,One Edge Diff,Five Edge Six Edge,67dcc12657e2fe1375df7f89,young
1378.9000000059605,shortestpath_phase,GW/barrel.jpg,49.0,GW/wheelchair.jpg,GW/camera.jpg,0.0,GW/camera.jpg,Three Edge Diff,Three Edge Six Edge,67dcc12657e2fe1375df7f89,young
1799.7000000029802,shortestpath_phase,GW/gong.jpg,49.0,GW/hat.jpg,GW/basket.jpg,0.0,GW/basket.jpg,Three Edge Diff,Three Edge Six Edge,67dcc12657e2fe1375df7f89,young
1099.9000000059605,shortestpath_phase,GW/soldier.jpg,50.0,GW/barrel.jpg,GW/paint.jpg,0.0,GW/barrel.jpg,One Edge Diff,Three Edge Four Edge,67dcc12657e2fe1375df7f89,young
1208.0,shortestpath_phase,GW/dustpan.jpg,50.0,GW/gong.jpg,GW/basket.jpg,1.0,GW/basket.jpg,One Edge Diff,Two Edge Three Edge,67dcc12657e2fe1375df7f89,young
