rt,trial_type,stimulus,key_press,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,partid,age,stimulus_left,stimulus_right,condition,specific_pairs
2641.9000000059605,directmemory_phase,node9,51.0,1.0,node1,node13,node6,node6,node13,node1,67dcc12657e2fe1375df7f89,young,,,,
2749.20000000298,directmemory_phase,node1,51.0,0.0,node4,node2,node11,node2,node4,node11,67dcc12657e2fe1375df7f89,young,,,,
2410.0999999940395,directmemory_phase,node11,50.0,1.0,node8,node3,node13,node3,node8,node13,67dcc12657e2fe1375df7f89,young,,,,
2559.5999999940395,directmemory_phase,node2,49.0,1.0,node4,node8,node6,node4,node6,node8,67dcc12657e2fe1375df7f89,young,,,,
4452.0,directmemory_phase,node9,50.0,0.0,node7,node1,node3,node7,node3,node1,67dcc12657e2fe1375df7f89,young,,,,
6194.0,directmemory_phase,node3,49.0,0.0,node1,node6,node13,node6,node1,node13,67dcc12657e2fe1375df7f89,young,,,,
,directmemory_phase,node9,,,node1,node13,node8,node8,node13,node1,67dcc12657e2fe1375df7f89,young,,,,
2022.8999999910595,directmemory_phase,node4,51.0,1.0,node9,node1,node12,node12,node1,node9,67dcc12657e2fe1375df7f89,young,,,,
2478.5,directmemory_phase,node7,50.0,0.0,node6,node4,node3,node6,node3,node4,67dcc12657e2fe1375df7f89,young,,,,
2470.5,directmemory_phase,node11,49.0,0.0,node4,node12,node1,node12,node4,node1,67dcc12657e2fe1375df7f89,young,,,,
2135.0999999940395,directmemory_phase,node2,50.0,0.0,node7,node11,node3,node3,node11,node7,67dcc12657e2fe1375df7f89,young,,,,
1772.300000011921,directmemory_phase,node12,50.0,0.0,node13,node5,node11,node11,node5,node13,67dcc12657e2fe1375df7f89,young,,,,
1935.20000000298,directmemory_phase,node7,51.0,1.0,node12,node11,node9,node9,node11,node12,67dcc12657e2fe1375df7f89,young,,,,
1771.2999999970198,directmemory_phase,node5,49.0,1.0,node4,node9,node12,node4,node12,node9,67dcc12657e2fe1375df7f89,young,,,,
2027.70000000298,directmemory_phase,node2,50.0,0.0,node7,node5,node1,node1,node5,node7,67dcc12657e2fe1375df7f89,young,,,,
1672.2000000029802,directmemory_phase,node4,49.0,1.0,node5,node9,node11,node5,node11,node9,67dcc12657e2fe1375df7f89,young,,,,
1597.7999999970198,directmemory_phase,node3,50.0,0.0,node2,node10,node4,node2,node4,node10,67dcc12657e2fe1375df7f89,young,,,,
1849.5,directmemory_phase,node8,50.0,0.0,node10,node4,node11,node10,node11,node4,67dcc12657e2fe1375df7f89,young,,,,
1839.4000000059605,directmemory_phase,node4,51.0,1.0,node8,node11,node2,node2,node11,node8,67dcc12657e2fe1375df7f89,young,,,,
