rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,unknowncity,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments
52976.5,{worker_id:6691d6b19b0ed6a3cbb68e5e},id_enter,52982,intro,Racine; Gatlinburg; New Hope; Boulder; Carmel; Hot Springs; Cornwall; West Palm Beach; Huntsville; Leesburg; Hanover; Peoria; Shreveport,US_Cities_List/mm_racine.png; US_Cities_List/mm_gatlinburg.png; US_Cities_List/nat_newhope.png; US_Cities_List/mm_boulder.png; US_Cities_List/nat_carmel.png; US_Cities_List/nat_hotsprings.png; US_Cities_List/nat_cornwall.png; US_Cities_List/nat_westpalmbeach.png; US_Cities_List/nat_huntsville.png; US_Cities_List/nat_leesburg.png; US_Cities_List/nat_hanover.png; US_Cities_List/mm_peoria.png; US_Cities_List/nat_shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118081,,fullscreen,171072,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31784.5,,intro_1,202864,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22101.80000001192,,intro_2,224969,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17811.80000001192,,intro_3,242784,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21158.79999998212,,intro_4,263944,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9387.699999988079,,intro_5,273334,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39678.69999998808,,intro_6,313016,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,313780,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,314428,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,316445,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4963.800000011921,,attentioncheck_help,321412,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,322181,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616.5,,prac_atten_color,323076,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,325087,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
