rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,unknowncity,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments
141572.10000002384,{worker_id:68185abbd5fdcf1dd077fb3e},id_enter,141585,intro,Cornwall; Hanover; Huntsville; West Palm Beach; New Hope; Boulder; Racine; Peoria; Shreveport; Leesburg; Gatlinburg; Carmel; Hot Springs,US_Cities_List/nat_cornwall.png; US_Cities_List/mm_hanover.png; US_Cities_List/nat_huntsville.png; US_Cities_List/mm_westpalmbeach.png; US_Cities_List/nat_newhope.png; US_Cities_List/nat_boulder.png; US_Cities_List/nat_racine.png; US_Cities_List/nat_peoria.png; US_Cities_List/mm_shreveport.png; US_Cities_List/nat_leesburg.png; US_Cities_List/nat_gatlinburg.png; US_Cities_List/mm_carmel.png; US_Cities_List/nat_hotsprings.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30533.80000001192,,fullscreen,172152,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45673.60000002384,,intro_1,217891,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50067.59999996424,,intro_2,267968,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25297.900000035763,,intro_3,293276,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44142.80000001192,,intro_4,337425,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16965,,intro_5,354397,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92302.69999998808,,intro_6,446707,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,447206,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,448132,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,450142,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14474.5,,attentioncheck_help,464632,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,465131,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,465620,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471.19999998807907,,prac_atten_color_black,467626,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,468554,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
