rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,unknowncity,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
6957.29999999702,{worker_id:67cdd01182952d5b5915999d},id_enter,6966,intro,Gatlinburg; Peoria; Hot Springs; West Palm Beach; Carmel; Racine; Hanover; Huntsville; Shreveport; New Hope; Cornwall; Leesburg; Boulder,US_Cities_List/mm_gatlinburg.png; US_Cities_List/nat_peoria.png; US_Cities_List/nat_hotsprings.png; US_Cities_List/nat_westpalmbeach.png; US_Cities_List/nat_carmel.png; US_Cities_List/nat_racine.png; US_Cities_List/nat_hanover.png; US_Cities_List/mm_huntsville.png; US_Cities_List/nat_shreveport.png; US_Cities_List/nat_newhope.png; US_Cities_List/nat_cornwall.png; US_Cities_List/mm_leesburg.png; US_Cities_List/nat_boulder.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12688.39999999851,,fullscreen,19669,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6782.699999999255,,intro_1,26458,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202.300000000745,,intro_2,36662,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11623.39999999851,,intro_3,48287,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41112.89999999851,,intro_4,89402,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6429,,intro_5,95832,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23235.10000000149,,intro_6,119069,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,119672,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,120473,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608.5,,prac_atten_color_black,122475,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,123078,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638.5,,prac_atten_color,123885,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,125888,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,126490,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,126959,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5,,prac_atten_color_black,128961,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,129896,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531.8999999985099,,prac_atten_color,130523,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,132525,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,133301,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653.4000000022352,,prac_atten_color,134178,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,136180,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4705.10000000149,,attentioncheck_help,140886,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,141427,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957.1999999992549,,prac_atten_color,142432,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,144435,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,144833,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
