rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position
8225.5,{worker_id:Kirthin V. Rajkumar},id_enter,8228,intro,Leesburg; New Hope; Racine; Boulder; Shreveport; Carmel; Hanover; Huntsville; Peoria; Hot Springs; Cornwall; West Palm Beach; Gatlinburg,US_Cities_List/mm_leesburg.png; US_Cities_List/nat_newhope.png; US_Cities_List/nat_racine.png; US_Cities_List/mm_boulder.png; US_Cities_List/mm_shreveport.png; US_Cities_List/nat_carmel.png; US_Cities_List/mm_hanover.png; US_Cities_List/nat_huntsville.png; US_Cities_List/nat_peoria.png; US_Cities_List/nat_hotsprings.png; US_Cities_List/mm_cornwall.png; US_Cities_List/nat_westpalmbeach.png; US_Cities_List/mm_gatlinburg.png,,,,,,,,,,,,,,,,,,,,,
2512.7000000029802,,fullscreen,10745,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,
12311.59999999404,,intro_0,23059,instruct,,,,32,,,,,,,,,,,,,,,,,,,
11042.60000000894,,intro_1,34103,instruct,,,,32,,,,,,,,,,,,,,,,,,,
9833.20000000298,,intro_2,43938,instruct,,,,32,,,,,,,,,,,,,,,,,,,
7672.70000000298,,intro_3,51611,instruct,,,,32,,,,,,,,,,,,,,,,,,,
13394,,intro_4,65006,instruct,,,,32,,,,,,,,,,,,,,,,,,,
23073.60000000894,,intro_5,88081,instruct,,,,32,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,88474,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
836.3999999910593,,prac_atten_color,89487,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,91490,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,91884,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,92404,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,
