rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,unknowncity,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments,,
4973.2,{worker_id:62c431f8b8e7dec0d2c03ea7},id_enter,4976,intro,West Palm Beach; Boulder; Peoria; Racine; Hot Springs; Gatlinburg; Leesburg; Hanover; Carmel; New Hope; Huntsville; Cornwall; Shreveport,US_Cities_List/mm_westpalmbeach.png; US_Cities_List/nat_boulder.png; US_Cities_List/mm_peoria.png; US_Cities_List/nat_racine.png; US_Cities_List/nat_hotsprings.png; US_Cities_List/nat_gatlinburg.png; US_Cities_List/mm_leesburg.png; US_Cities_List/nat_hanover.png; US_Cities_List/nat_carmel.png; US_Cities_List/mm_newhope.png; US_Cities_List/mm_huntsville.png; US_Cities_List/nat_cornwall.png; US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31427.8,,fullscreen,36412,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14699.1,,intro_1,51113,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55982.4,,intro_2,107096,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20378.8,,intro_3,127476,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15227.2,,intro_4,142706,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11422.7,,intro_5,154131,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38734.4,,intro_6,192867,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,193411,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,194272,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,,prac_atten_color_black,196275,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,196820,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,197310,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494.9,,prac_atten_color_black,199311,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,200226,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522.5,,prac_atten_color,200755,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,202766,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,203646,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417.8000001,,prac_atten_color,204652,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,206668,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,207067,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473.0999999,,prac_atten_color,207580,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,209582,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,210476,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.2,,prac_atten_color,211459,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,213462,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,213885,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379.9,,prac_atten_color,214456,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,216458,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,217294,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540.6,,prac_atten_color,217842,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,219845,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,220703,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556.2,,prac_atten_color,221480,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,223482,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,224113,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,224609,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.89999998,,prac_atten_color_black,226612,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16773.9,,attentioncheck_feedback,243389,cross_check_feedback,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19712.4,,last_instruct,263102,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),265120,black_plus_sign,,,,,null,US_Cities_List/nat_hanover.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),265987,blue,,,,,null,US_Cities_List/nat_hanover.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,266489,blue,,,,,null,US_Cities_List/nat_hanover.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128.4,,rt_thecrossant_black,267633,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,267736,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),270278,black_plus_sign,,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
