rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
11999.199999999255,{worker_id:5a8b61fcf1408d000176b02f},id_enter,12004,fictional,interleaved,flights,Juniper Creek; New Verdan; Cedarwyn; Orchard Bend; Riverlyn; Claywater; North Arroya; Granton Ridge; Delaro Park; Sunmere; Baymarsh; Hollendale; Hawthorne Bluffs,US_Cities_List/gatlinburg.png; US_Cities_List/racine.png; US_Cities_List/huntsville.png; US_Cities_List/peoria.png; US_Cities_List/westpalmbeach.png; US_Cities_List/boulder.png; US_Cities_List/newhope.png; US_Cities_List/hanover.png; US_Cities_List/cornwall.png; US_Cities_List/hotsprings.png; US_Cities_List/leesburg.png; US_Cities_List/carmel.png; US_Cities_List/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,
18163.60000000149,,fullscreen,30177,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
10852.39999999851,,intro_1,41037,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
15850.10000000149,,intro_2,56893,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
29266.29999999702,,intro_3,86166,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
55693.199999999255,,intro_4,141864,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
39702.60000000149,,intro_5,181571,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
45593.79999999702,,intro_6,227172,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
12293,,intro_7,239470,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,242475,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,243477,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
44267.39999999851,,intro_1,287747,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
10186,,intro_2,297938,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,300942,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,301946,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
7192.699999999255,,intro_1,309141,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
5764.10000000149,,intro_2,314909,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
26889.5,,intro_3,341803,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,342156,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
545.6000000014901,,prac_atten_color,343213,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,345215,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,345568,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,346001,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
198.29999999701977,,prac_atten_color_black,348004,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,348977,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,349462,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
139.10000000149012,,prac_atten_color_black,351464,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,352385,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
437.80000000074506,,prac_atten_color,353153,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,355156,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,355796,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
330.80000000074506,,prac_atten_color,356536,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,358539,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,359206,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
515.9000000022352,,prac_atten_color,360154,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,362156,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,362615,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,363086,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
151,,prac_atten_color_black,365088,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,366024,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
373.19999999925494,,prac_atten_color,366858,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,368861,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,369434,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
569.8000000007451,,prac_atten_color,370191,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,372194,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
