rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
12384.5,{worker_id:5b8c611e4cd6dd0001bec307},id_enter,12388,fictional,interleaved,flights,Hawthorne Bluffs; Delaro Park; North Arroya; Sunmere; Riverlyn; Baymarsh; Claywater; Cedarwyn; Orchard Bend; New Verdan; Juniper Creek; Hollendale; Granton Ridge,US_Cities_List/shreveport.png; US_Cities_List/cornwall.png; US_Cities_List/newhope.png; US_Cities_List/hotsprings.png; US_Cities_List/westpalmbeach.png; US_Cities_List/leesburg.png; US_Cities_List/boulder.png; US_Cities_List/huntsville.png; US_Cities_List/peoria.png; US_Cities_List/racine.png; US_Cities_List/gatlinburg.png; US_Cities_List/carmel.png; US_Cities_List/hanover.png,,,,,,,,,,,,,,,,,,,,,,,
40119.200000000186,,fullscreen,52514,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
29623.59999999986,,intro_1,82141,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
17894.09999999986,,intro_2,100038,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
24434.100000000093,,intro_3,124476,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
2627.899999999907,,intro_4,127106,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
21063.5,,intro_5,148171,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
49831.39999999991,,intro_6,198005,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
16592.200000000186,,intro_7,214600,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,217610,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,218616,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
10602.100000000093,,intro_1,229220,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
10213.899999999907,,intro_2,239437,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,242443,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
