rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
5536.299999952316,{worker_id:5e7d2f16e863ba0d96dc610f},id_enter,5537,fictional,interleaved,flights,Orchard Bend; Delaro Park; Cedarwyn; Baymarsh; Hollendale; New Verdan; Granton Ridge; Juniper Creek; Hawthorne Bluffs; Riverlyn; Sunmere; Claywater; North Arroya,US_Cities_List/peoria.png; US_Cities_List/cornwall.png; US_Cities_List/huntsville.png; US_Cities_List/leesburg.png; US_Cities_List/carmel.png; US_Cities_List/racine.png; US_Cities_List/hanover.png; US_Cities_List/gatlinburg.png; US_Cities_List/shreveport.png; US_Cities_List/westpalmbeach.png; US_Cities_List/hotsprings.png; US_Cities_List/boulder.png; US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,,,,,,
10469.899999976158,,fullscreen,16009,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
5659,,intro_1,21669,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
18237.299999952316,,intro_2,39907,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
11759.299999952316,,intro_3,51667,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
6887.600000023842,,intro_4,58555,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
7371.199999928474,,intro_5,65927,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
13705.299999952316,,intro_6,79633,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
6899.399999976158,,intro_7,86533,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,89536,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,90537,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
4016,,intro_1,94553,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
9040.5,,intro_2,103594,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,106597,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,107598,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
10928.799999952316,,intro_1,118527,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
6303.5,,intro_2,124831,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
19898.5,,intro_3,144730,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,145622,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,146132,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
385.60000002384186,,prac_atten_color_black,148134,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,149026,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
512.2999999523163,,prac_atten_color,149716,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,151718,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,152431,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
693,,prac_atten_color,153165,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,155167,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
