rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
4062.9000000953674,{worker_id:61074792728f0f9e791ad083},id_enter,4070,fictional,interleaved,flights,Hollendale; Riverlyn; Claywater; Hawthorne Bluffs; North Arroya; Orchard Bend; Granton Ridge; Sunmere; New Verdan; Baymarsh; Cedarwyn; Delaro Park; Juniper Creek,US_Cities_List/carmel.png; US_Cities_List/westpalmbeach.png; US_Cities_List/boulder.png; US_Cities_List/shreveport.png; US_Cities_List/newhope.png; US_Cities_List/peoria.png; US_Cities_List/hanover.png; US_Cities_List/hotsprings.png; US_Cities_List/racine.png; US_Cities_List/leesburg.png; US_Cities_List/huntsville.png; US_Cities_List/cornwall.png; US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,
3352,,fullscreen,7431,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
6488.899999976158,,intro_1,13922,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
7196.700000047684,,intro_2,21120,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
12091,,intro_3,33213,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
4890.200000047684,,intro_4,38105,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
8989.899999976158,,intro_5,47097,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
14794.199999928474,,intro_6,61894,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
8160.100000023842,,intro_7,70056,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,73058,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,74073,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
1815.5,,intro_1,75890,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
7001.300000071526,,intro_2,82894,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,85897,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,86900,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
1145.1000000238419,,intro_1,88047,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
930.3999999761581,,intro_2,88978,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
19998.799999952316,,intro_3,108979,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,109337,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
544.8999999761581,,prac_atten_color,110384,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
409.59999990463257,,prac_atten_color_black,112387,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,112747,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
770.2000000476837,,prac_atten_color,113579,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,115583,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,116156,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
597.6999999284744,,prac_atten_color,117232,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,119234,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,119563,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,120139,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
16.200000047683716,,prac_atten_color_black,122142,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,122971,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
535,,prac_atten_color,123821,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,125824,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,126381,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
472.39999997615814,,prac_atten_color,127268,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,129271,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,129791,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
437.10000002384186,,prac_atten_color,130459,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,132461,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,133200,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
481.8000000715256,,prac_atten_color,134030,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,136032,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,136608,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
522.1000000238419,,prac_atten_color,137498,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,139500,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,140016,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
585.3000000715256,,prac_atten_color,141011,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,143013,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
4575.200000047684,,attentioncheck_feedback,147590,,,cross_check_feedback,,,0,,,,,,,,,,,,,,,,,,,,,,
3484.2999999523163,,last_instruct,151075,,,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),154102,,,black_plus_sign,,,,,null,US_Cities_List/racine.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),155148,,,blue,,,,,null,US_Cities_List/racine.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
497.09999990463257,,rt_plussign_withcolor,155650,,,blue,,,,,49,US_Cities_List/racine.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,156610,,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,156712,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
