rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
11503.699999999255,{worker_id:6151e479b4ee16668948c7f2},id_enter,11505,fictional,interleaved,flights,Hollendale; Baymarsh; New Verdan; Riverlyn; Orchard Bend; Cedarwyn; Hawthorne Bluffs; Delaro Park; Juniper Creek; Claywater; Sunmere; North Arroya; Granton Ridge,US_Cities_List/carmel.png; US_Cities_List/leesburg.png; US_Cities_List/racine.png; US_Cities_List/westpalmbeach.png; US_Cities_List/peoria.png; US_Cities_List/huntsville.png; US_Cities_List/shreveport.png; US_Cities_List/cornwall.png; US_Cities_List/gatlinburg.png; US_Cities_List/boulder.png; US_Cities_List/hotsprings.png; US_Cities_List/newhope.png; US_Cities_List/hanover.png,,,,,,,,,,,,,,,,,,,,,,,
1453702.6999999993,,fullscreen,1465175,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
18957.300000000745,,intro_1,1484134,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
13557.900000002235,,intro_2,1497694,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
16917.199999999255,,intro_3,1514613,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
14114.39999999851,,intro_4,1528730,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
36972.800000000745,,intro_5,1565704,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
72734.10000000149,,intro_6,1638439,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
9569.20000000298,,intro_7,1648010,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,1651014,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,1652019,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
15970,,intro_1,1667990,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
21251.10000000149,,intro_2,1689243,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,1692246,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,1693249,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
11142,,intro_1,1704392,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
6823.400000002235,,intro_2,1711217,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
56174.099999997765,,intro_3,1767392,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,1768146,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,1768800,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
