rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
22162.600000023842,{worker_id:67608d020ab313f56180df41},id_enter,22170,fictional,interleaved,flights,Hawthorne Bluffs; Juniper Creek; Hollendale; Riverlyn; Orchard Bend; Baymarsh; North Arroya; Claywater; Cedarwyn; Delaro Park; New Verdan; Granton Ridge; Sunmere,US_Cities_List/shreveport.png; US_Cities_List/gatlinburg.png; US_Cities_List/carmel.png; US_Cities_List/westpalmbeach.png; US_Cities_List/peoria.png; US_Cities_List/leesburg.png; US_Cities_List/newhope.png; US_Cities_List/boulder.png; US_Cities_List/huntsville.png; US_Cities_List/cornwall.png; US_Cities_List/racine.png; US_Cities_List/hanover.png; US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,,,,,,
45511.89999997616,,fullscreen,67692,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
6153.600000023842,,intro_1,73850,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
113448.29999995232,,intro_2,187302,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
58790.89999997616,,intro_3,246097,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
8853.199999928474,,intro_4,254953,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
10641.399999976158,,intro_5,265598,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
14325.600000023842,,intro_6,279926,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
9424.100000023842,,intro_7,289353,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,292356,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,293360,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3822.3000000715256,,intro_1,297186,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
6397,,intro_2,303586,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,306589,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,307592,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2156.1999999284744,,intro_1,309752,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
2819.1999999284744,,intro_2,312573,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
38022.40000009537,,intro_3,350598,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,351250,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,352005,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
239.69999992847443,,prac_atten_color_black,354009,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,354662,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
654.2000000476837,,prac_atten_color,355575,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,357579,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,358072,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,358514,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
257.1999999284744,,prac_atten_color_black,360519,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,361483,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
759.2000000476837,,prac_atten_color,362409,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
223.89999997615814,,prac_atten_color_black,364412,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,364892,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
943.1000000238419,,prac_atten_color,365874,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,367878,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,368300,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
803.6000000238419,,prac_atten_color,369111,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,371114,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,371709,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
649.8000000715256,,prac_atten_color,372570,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,374574,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,375118,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,375568,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
172.70000004768372,,prac_atten_color_black,377571,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,378528,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
616.1000000238419,,prac_atten_color,379428,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,381431,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,381944,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
560.9000000953674,,prac_atten_color,383032,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,385035,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
6953.899999976158,,attentioncheck_feedback,391992,,,cross_check_feedback,,,0,,,,,,,,,,,,,,,,,,,,,,
24871.700000047684,,last_instruct,416865,,,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),419880,,,black_plus_sign,,,,,null,US_Cities_List/newhope.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),420634,,,blue,,,,,null,US_Cities_List/newhope.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,421137,,,blue,,,,,null,US_Cities_List/newhope.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
1425.9000000953674,,rt_thecrossant_black,422391,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,422495,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),425535,,,black_plus_sign,,,,,null,US_Cities_List/cornwall.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
