rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
27251.59999999404,{worker_id:676c956bbeee4e4356eb085b},id_enter,27255,fictional,interleaved,flights,Orchard Bend; Sunmere; North Arroya; Delaro Park; Riverlyn; Hawthorne Bluffs; Hollendale; Baymarsh; New Verdan; Claywater; Cedarwyn; Granton Ridge; Juniper Creek,US_Cities_List/peoria.png; US_Cities_List/hotsprings.png; US_Cities_List/newhope.png; US_Cities_List/cornwall.png; US_Cities_List/westpalmbeach.png; US_Cities_List/shreveport.png; US_Cities_List/carmel.png; US_Cities_List/leesburg.png; US_Cities_List/racine.png; US_Cities_List/boulder.png; US_Cities_List/huntsville.png; US_Cities_List/hanover.png; US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,
11166.700000017881,,fullscreen,38427,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
34218.29999998212,,intro_1,72647,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
64889,,intro_2,137538,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
53708.29999998212,,intro_3,191248,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
56680.69999998808,,intro_4,247929,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
38839.10000002384,,intro_5,286770,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
40990.79999998212,,intro_6,327761,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
16014.09999999404,,intro_7,343777,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,346780,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,347783,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
7761.300000011921,,intro_1,355545,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
11647.09999999404,,intro_2,367193,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,370195,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,371197,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
4724.200000017881,,intro_1,375922,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
6915,,intro_2,382838,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
15197.90000000596,,intro_3,398037,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,398450,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
970.5,,prac_atten_color,399442,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,401444,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,401856,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,402663,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
140,,prac_atten_color_black,404665,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,405262,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,406160,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
231.19999998807907,,prac_atten_color_black,408161,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,408667,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,409768,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
118.5,,prac_atten_color_black,411770,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,412072,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,412848,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
303.09999999403954,,prac_atten_color_black,414849,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,415479,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,416364,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
302.30000001192093,,prac_atten_color_black,418366,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,418884,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,419555,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
262.39999997615814,,prac_atten_color_black,421556,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,422288,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,423089,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
413.80000001192093,,prac_atten_color_black,425090,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,425695,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,426514,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
671.4000000059605,,prac_atten_color_black,428515,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,429100,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,429769,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
632.2000000178814,,prac_atten_color_black,431770,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
42751.30000001192,,attentioncheck_feedback,474522,,,cross_check_feedback,,,0,,,,,,,,,,,,,,,,,,,,,,
10986.40000000596,,last_instruct,485509,,,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),488525,,,black_plus_sign,,,,,null,US_Cities_List/hanover.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),489516,,,blue,,,,,null,US_Cities_List/hanover.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,490018,,,blue,,,,,null,US_Cities_List/hanover.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,491030,,,black_plus_sign,,,,,null,,,NaN,,,,,,,,,,,,,,,,,
null,,color_black,491132,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),494148,,,black_plus_sign,,,,,null,US_Cities_List/carmel.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),494570,,,blue,,,,,null,US_Cities_List/carmel.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,495071,,,blue,,,,,null,US_Cities_List/carmel.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,496662,,,black_plus_sign,,,,,null,,,NaN,,,,,,,,,,,,,,,,,
null,,warning_page,499664,,,warning,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,color_black,499766,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),502778,,,black_plus_sign,,,,,null,US_Cities_List/peoria.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),503840,,,blue,,,,,null,US_Cities_List/peoria.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,504343,,,blue,,,,,null,US_Cities_List/peoria.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
1056.5999999940395,,rt_thecrossant_black,505284,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,505386,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),508398,,,black_plus_sign,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),508860,,,yellow,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,509361,,,yellow,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
1786,,rt_thecrossant_black,510904,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,511011,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),514033,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),514653,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,515154,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
960.8000000119209,,rt_thecrossant_black,516537,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,516639,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),519659,,,black_plus_sign,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),520684,,,yellow,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,521186,,,yellow,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
1352.4000000059605,,rt_thecrossant_black,522164,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,522266,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),525288,,,black_plus_sign,,,,,null,US_Cities_List/cornwall.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),526289,,,yellow,,,,,null,US_Cities_List/cornwall.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,526791,,,yellow,,,,,null,US_Cities_List/cornwall.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
1786.3999999761581,,rt_thecrossant_black,527794,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,527896,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),530916,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),531520,,,yellow,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
