rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
5884,{worker_id:56cf6e8d31a5bc0006e1cdf5},id_enter,5890,fictional,interleaved,flights,Granton Ridge; Cedarwyn; Claywater; Delaro Park; Hollendale; North Arroya; Orchard Bend; New Verdan; Hawthorne Bluffs; Riverlyn; Sunmere; Juniper Creek; Baymarsh,US_Cities_List/hanover.png; US_Cities_List/huntsville.png; US_Cities_List/boulder.png; US_Cities_List/cornwall.png; US_Cities_List/carmel.png; US_Cities_List/newhope.png; US_Cities_List/peoria.png; US_Cities_List/racine.png; US_Cities_List/shreveport.png; US_Cities_List/westpalmbeach.png; US_Cities_List/hotsprings.png; US_Cities_List/gatlinburg.png; US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,,,,,,
9846,,fullscreen,15749,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
11650,,intro_1,27404,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
13369,,intro_2,40777,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
12736,,intro_3,53518,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
10951,,intro_4,64471,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
9623,,intro_5,74097,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
20978,,intro_6,95080,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
8736,,intro_7,103818,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,106823,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,107838,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
