rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
9476.5,{worker_id:5d2e3cdf6835130001aa16f0},id_enter,9479,fictional,interleaved,flights,Cedarwyn; Hawthorne Bluffs; Riverlyn; Juniper Creek; Sunmere; North Arroya; Claywater; Baymarsh; Granton Ridge; Hollendale; Orchard Bend; New Verdan; Delaro Park,US_Cities_List/huntsville.png; US_Cities_List/shreveport.png; US_Cities_List/westpalmbeach.png; US_Cities_List/gatlinburg.png; US_Cities_List/hotsprings.png; US_Cities_List/newhope.png; US_Cities_List/boulder.png; US_Cities_List/leesburg.png; US_Cities_List/hanover.png; US_Cities_List/carmel.png; US_Cities_List/peoria.png; US_Cities_List/racine.png; US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,,,,,,
18482.5,,fullscreen,27967,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
14038,,intro_1,42007,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
17343.5,,intro_2,59352,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
53467.90000000037,,intro_3,112822,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
20173.700000000186,,intro_4,132997,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
18146.5,,intro_5,151145,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
22272.400000000373,,intro_6,173419,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
10535.799999999814,,intro_7,183956,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,186958,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,187960,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
19588,,intro_1,207549,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
15340.199999999255,,intro_2,222891,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,225893,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,226895,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
13418.200000000186,,intro_1,240315,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
8366.699999999255,,intro_2,248682,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
27900.099999999627,,intro_3,276584,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,277024,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,277988,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
142.79999999981374,,prac_atten_color_black,279990,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,280431,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
606,,prac_atten_color,281103,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,283105,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,283838,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
770.3999999994412,,prac_atten_color,284643,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,286645,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,287243,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,287879,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
72.1000000005588,,prac_atten_color_black,289880,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,290661,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
363.29999999981374,,prac_atten_color,291413,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,293415,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,294067,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
422.09999999962747,,prac_atten_color,294727,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
