rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
6520.699999988079,{worker_id:5e1e5c3c80e02e1c36679187},id_enter,6526,fictional,interleaved,flights,Hawthorne Bluffs; Claywater; Hollendale; Orchard Bend; North Arroya; Sunmere; Baymarsh; New Verdan; Granton Ridge; Cedarwyn; Juniper Creek; Delaro Park; Riverlyn,US_Cities_List/shreveport.png; US_Cities_List/boulder.png; US_Cities_List/carmel.png; US_Cities_List/peoria.png; US_Cities_List/newhope.png; US_Cities_List/hotsprings.png; US_Cities_List/leesburg.png; US_Cities_List/racine.png; US_Cities_List/hanover.png; US_Cities_List/huntsville.png; US_Cities_List/gatlinburg.png; US_Cities_List/cornwall.png; US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,
100455.90000000596,,fullscreen,106990,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
18226.90000000596,,intro_1,125291,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
9292.39999999106,,intro_2,134586,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
41550.70000000298,,intro_3,176141,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
12203,,intro_4,188347,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
9413,,intro_5,197763,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
37983.60000000894,,intro_6,235749,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
11732.40000000596,,intro_7,247483,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,250489,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,251492,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
31721,,intro_1,283214,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
8477.199999988079,,intro_2,291694,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,294708,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,295711,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
531253.900000006,,intro_1,828406,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
7589.0999999940395,,intro_2,835997,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
1908784.200000003,,intro_3,2744784,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2745467,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,2746192,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
363.5,,prac_atten_color_black,2748194,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2748877,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,2749549,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
303.19999998807907,,prac_atten_color_black,2751551,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2752283,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
713.7000000029802,,prac_atten_color,2753342,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2755346,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2755692,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
687.8999999910593,,prac_atten_color,2756466,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2758468,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2759099,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,2759787,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
57.5,,prac_atten_color_black,2761804,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2762532,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
718.0999999940395,,prac_atten_color,2763288,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2765290,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2765941,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,2766521,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
167.70000000298023,,prac_atten_color_black,2768523,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2769350,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,2770045,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
19.299999997019768,,prac_atten_color_black,2772056,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2772774,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
800,,prac_atten_color,2773791,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2775799,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2776189,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
839.5,,prac_atten_color,2777071,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,2779073,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
8286.59999999404,,attentioncheck_feedback,2787362,,,cross_check_feedback,,,0,,,,,,,,,,,,,,,,,,,,,,
9135.20000000298,,last_instruct,2796499,,,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),2799522,,,black_plus_sign,,,,,null,US_Cities_List/boulder.png,US_Cities_List/peoria.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),2800245,,,blue,,,,,null,US_Cities_List/boulder.png,US_Cities_List/peoria.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,2800747,,,blue,,,,,null,US_Cities_List/boulder.png,US_Cities_List/peoria.png,,,,,,,,,,,,,,,,,,
1216.5,,rt_thecrossant_black,2802030,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,2802133,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),2805161,,,black_plus_sign,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),2805764,,,yellow,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,2806266,,,yellow,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
876.6000000089407,,rt_thecrossant_black,2807679,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,2807781,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),2810815,,,black_plus_sign,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),2811669,,,yellow,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,2812182,,,yellow,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
