rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
9233.20000000298,{worker_id:62ceeffea6d9872b4adeee6f},id_enter,9236,fictional,interleaved,flights,Cedarwyn; New Verdan; Baymarsh; Claywater; Orchard Bend; Delaro Park; Hollendale; Hawthorne Bluffs; Juniper Creek; Sunmere; North Arroya; Granton Ridge; Riverlyn,US_Cities_List/huntsville.png; US_Cities_List/racine.png; US_Cities_List/leesburg.png; US_Cities_List/boulder.png; US_Cities_List/peoria.png; US_Cities_List/cornwall.png; US_Cities_List/carmel.png; US_Cities_List/shreveport.png; US_Cities_List/gatlinburg.png; US_Cities_List/hotsprings.png; US_Cities_List/newhope.png; US_Cities_List/hanover.png; US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,
3675.2000000029802,,fullscreen,12917,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
11333.5,,intro_1,24252,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
12231.89999999851,,intro_2,36485,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
13213,,intro_3,49701,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
9698.79999999702,,intro_4,59402,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
13497.39999999851,,intro_5,72901,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
22497.80000000447,,intro_6,95401,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
14664.5,,intro_7,110067,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,113071,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,114075,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3242.89999999851,,intro_1,117320,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
14996.09999999404,,intro_2,132318,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,135321,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,136325,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
5373.79999999702,,intro_1,141701,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
6231.5,,intro_2,147934,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
25515,,intro_3,173451,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,173775,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
482.6000000014901,,prac_atten_color,174858,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,176861,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,177187,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
446.5,,prac_atten_color,177743,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,179747,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,180597,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
542,,prac_atten_color,181300,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,183303,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
3914.7000000029802,,attentioncheck_help,187220,,,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,187925,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
588.6999999955297,,prac_atten_color,188984,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,190987,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,191336,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
586,,prac_atten_color,192014,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,194017,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,194746,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
