rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
30599.399999976158,{worker_id:66ac145b55e2055063cd4079},id_enter,30604,fictional,interleaved,flights,Hawthorne Bluffs; Claywater; Orchard Bend; Riverlyn; North Arroya; Sunmere; Cedarwyn; Hollendale; New Verdan; Delaro Park; Juniper Creek; Baymarsh; Granton Ridge,US_Cities_List/shreveport.png; US_Cities_List/boulder.png; US_Cities_List/peoria.png; US_Cities_List/westpalmbeach.png; US_Cities_List/newhope.png; US_Cities_List/hotsprings.png; US_Cities_List/huntsville.png; US_Cities_List/carmel.png; US_Cities_List/racine.png; US_Cities_List/cornwall.png; US_Cities_List/gatlinburg.png; US_Cities_List/leesburg.png; US_Cities_List/hanover.png,,,,,,,,,,,,,,,,,,,,,,,
13281.600000023842,,fullscreen,43890,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
8709.599999964237,,intro_1,52604,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
36382.69999998808,,intro_2,88988,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
21940.100000023842,,intro_3,110933,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
11603.099999964237,,intro_4,122537,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
9871.5,,intro_5,132410,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
24775.700000047684,,intro_6,157186,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
9272.399999976158,,intro_7,166460,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,169462,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
