rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
40555,{worker_id:67151b09180ba43415c564e8},id_enter,40561,fictional,interleaved,flights,Cedarwyn; Orchard Bend; New Verdan; Juniper Creek; Baymarsh; Sunmere; Claywater; Hawthorne Bluffs; North Arroya; Granton Ridge; Riverlyn; Hollendale; Delaro Park,US_Cities_List/huntsville.png; US_Cities_List/peoria.png; US_Cities_List/racine.png; US_Cities_List/gatlinburg.png; US_Cities_List/leesburg.png; US_Cities_List/hotsprings.png; US_Cities_List/boulder.png; US_Cities_List/shreveport.png; US_Cities_List/newhope.png; US_Cities_List/hanover.png; US_Cities_List/westpalmbeach.png; US_Cities_List/carmel.png; US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,,,,,,
6235.200000047684,,fullscreen,46808,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
49597.199999809265,,intro_1,96426,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
8094.299999952316,,intro_2,104527,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
7565.799999952316,,intro_3,112095,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
6882.899999856949,,intro_4,118984,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
9403,,intro_5,128390,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
14069.100000143051,,intro_6,142463,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
5510.299999952316,,intro_7,147977,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,150989,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,151996,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3861.5,,intro_1,155860,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
8636.200000047684,,intro_2,164500,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,167511,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,168516,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2577,,intro_1,171095,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
6806.099999904633,,intro_2,177903,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
17266.299999952316,,intro_3,195173,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,195749,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
662.4000000953674,,prac_atten_color,196589,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,198600,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,199171,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,200259,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
107.5,,prac_atten_color_black,202270,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,202590,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
661.7999999523163,,prac_atten_color,203470,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,205474,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,206014,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,206458,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
125.70000004768372,,prac_atten_color_black,208465,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,209447,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,209867,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
119.90000009536743,,prac_atten_color_black,211870,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,212864,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
484.09999990463257,,prac_atten_color,213827,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,215836,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,216287,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
342.69999980926514,,prac_atten_color,216781,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,218790,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,219711,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
503.5,,prac_atten_color,220364,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,222373,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,223130,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
453.39999985694885,,prac_atten_color,223656,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,225660,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,226551,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
419.09999990463257,,prac_atten_color,227234,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,229237,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
9989,,attentioncheck_feedback,239230,,,cross_check_feedback,,,0,,,,,,,,,,,,,,,,,,,,,,
6849,,last_instruct,246081,,,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),249120,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),249966,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
486.2000000476837,,rt_plussign_withcolor,250471,,,blue,,,,,49,US_Cities_List/hotsprings.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,251644,,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,251753,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),254795,,,black_plus_sign,,,,,null,US_Cities_List/racine.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),255718,,,blue,,,,,null,US_Cities_List/racine.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,256227,,,blue,,,,,null,US_Cities_List/racine.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
676,,rt_thecrossant_black,257320,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,257431,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),260497,,,black_plus_sign,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),261548,,,yellow,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,262050,,,yellow,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
1079.9000000953674,,rt_thecrossant_black,263021,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,263132,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),266169,,,black_plus_sign,,,,,null,US_Cities_List/gatlinburg.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),266637,,,yellow,,,,,null,US_Cities_List/gatlinburg.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,267141,,,yellow,,,,,null,US_Cities_List/gatlinburg.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
1332.7999999523163,,rt_thecrossant_black,268690,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,268806,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),271858,,,black_plus_sign,,,,,null,US_Cities_List/newhope.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),272794,,,yellow,,,,,null,US_Cities_List/newhope.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,273297,,,yellow,,,,,null,US_Cities_List/newhope.png,US_Cities_List/hotsprings.png,,,,,,,,,,,,,,,,,,
