rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
3653.9000000003725,{worker_id:67927aab0e9ddc106abf2129},id_enter,3655,fictional,interleaved,flights,Baymarsh; Delaro Park; Orchard Bend; Hawthorne Bluffs; Hollendale; Claywater; Granton Ridge; Sunmere; New Verdan; Riverlyn; Cedarwyn; North Arroya; Juniper Creek,US_Cities_List/leesburg.png; US_Cities_List/cornwall.png; US_Cities_List/peoria.png; US_Cities_List/shreveport.png; US_Cities_List/carmel.png; US_Cities_List/boulder.png; US_Cities_List/hanover.png; US_Cities_List/hotsprings.png; US_Cities_List/racine.png; US_Cities_List/westpalmbeach.png; US_Cities_List/huntsville.png; US_Cities_List/newhope.png; US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,
4137.5999999996275,,fullscreen,7795,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
7153.9000000003725,,intro_1,14950,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
8804.099999999627,,intro_2,23755,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
20930.800000000745,,intro_3,44686,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
11031.400000000373,,intro_4,55719,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
9104.099999999627,,intro_5,64823,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
42508.60000000149,,intro_6,107333,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
4229.300000000745,,intro_7,111563,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,114565,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,115570,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
6154.39999999851,,intro_1,121725,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
8571.5,,intro_2,130297,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,133299,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,134300,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
4156.300000000745,,intro_1,138457,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
4019.5,,intro_2,142477,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
11946.29999999702,,intro_3,154424,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,155081,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,155827,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
592.3999999985099,,prac_atten_color_black,157829,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,158486,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
468.8999999985099,,prac_atten_color,159191,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,161191,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,161891,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
448.8999999985099,,prac_atten_color,162570,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,164571,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,165296,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,165730,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
70.30000000074506,,prac_atten_color_black,167732,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,168702,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
493.80000000074506,,prac_atten_color,169571,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,171572,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,172107,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
498.1000000014901,,prac_atten_color,172668,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
