rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
42382.89999997616,{worker_id:67dd46602623d4bf857f7fa2},id_enter,42386,fictional,interleaved,flights,Hollendale; Hawthorne Bluffs; Sunmere; Juniper Creek; Granton Ridge; Riverlyn; Baymarsh; Delaro Park; Orchard Bend; North Arroya; Claywater; New Verdan; Cedarwyn,US_Cities_List/carmel.png; US_Cities_List/shreveport.png; US_Cities_List/hotsprings.png; US_Cities_List/gatlinburg.png; US_Cities_List/hanover.png; US_Cities_List/westpalmbeach.png; US_Cities_List/leesburg.png; US_Cities_List/cornwall.png; US_Cities_List/peoria.png; US_Cities_List/newhope.png; US_Cities_List/boulder.png; US_Cities_List/racine.png; US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,,,,,,
28227.100000023842,,fullscreen,70625,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
4734.5,,intro_1,75362,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
3715.2000000476837,,intro_2,79079,,,instruct,,,0,Previous,,,,,,,,,,,,,,,,,,,,,
39110.700000047684,,intro_1,118190,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
9183.899999976158,,intro_2,127376,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
39179.700000047684,,intro_3,166557,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
20996.100000023842,,intro_4,187555,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
35557.89999997616,,intro_5,223115,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
48854.5,,intro_6,271971,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
40339.299999952316,,intro_7,312312,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,315314,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,316316,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
12527.799999952316,,intro_1,328846,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
5355.099999904633,,intro_2,334204,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,337207,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,338210,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
6230.799999952316,,intro_1,344443,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
3196,,intro_2,347641,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
16848.700000047684,,intro_3,364492,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,364913,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
855.7999999523163,,prac_atten_color,365897,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,367899,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,368321,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
544.8000000715256,,prac_atten_color,369008,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,371010,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,371728,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
409,,prac_atten_color,372308,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,374311,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,375136,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
498,,prac_atten_color,375784,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,377787,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,378544,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
296.7000000476837,,prac_atten_color,379142,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
