rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
36414.5,{worker_id:68474cc30bedb8b982a92c8b},id_enter,36416,fictional,interleaved,flights,Granton Ridge; New Verdan; Orchard Bend; North Arroya; Cedarwyn; Juniper Creek; Delaro Park; Hollendale; Riverlyn; Claywater; Sunmere; Baymarsh; Hawthorne Bluffs,US_Cities_List/hanover.png; US_Cities_List/racine.png; US_Cities_List/peoria.png; US_Cities_List/newhope.png; US_Cities_List/huntsville.png; US_Cities_List/gatlinburg.png; US_Cities_List/cornwall.png; US_Cities_List/carmel.png; US_Cities_List/westpalmbeach.png; US_Cities_List/boulder.png; US_Cities_List/hotsprings.png; US_Cities_List/leesburg.png; US_Cities_List/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,
24687,,fullscreen,61111,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
12382,,intro_1,73495,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
18254.900000035763,,intro_2,91751,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
17494.80000001192,,intro_3,109247,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
18430.399999976158,,intro_4,127679,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
18415.30000001192,,intro_5,146095,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
28990.5,,intro_6,175087,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
13639,,intro_7,188726,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,191728,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,192730,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
7003,,intro_1,199734,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
10183.199999988079,,intro_2,209918,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,212920,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,213923,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
6418,,intro_1,220343,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
9199.199999988079,,intro_2,229543,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
77934.80000001192,,intro_3,307479,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,308281,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,308884,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
